#{"t_start": 1768477449.155274, "env_id": "None"}
r,l,t
-136.34525,182,3.561505
-174.0459,165,4.831131
-59.87106,13,5.003317
-52.40711,4,5.186873
-60.125557,14,5.388455
-6.547783,127,6.364504
-112.177795,55,6.980134
-136.93765,73,7.557716
19.584743,58,7.878325
-51.265686,3,7.960871
-102.19946,207,9.176555
-84.66701,31,9.481725
-52.098984,4,9.63323
-53.960827,4,9.746119
-91.52321,63,10.056886
-61.411522,9,10.252
49.75858,3,10.349242
-237.40482,198,11.393487
-102.14017,39,11.529718
-44.273476,195,12.139085
-65.72359,13,12.274283
-63.390663,13,12.412191
-61.499275,12,12.477083
-173.08093,102,12.736081
-153.80817,127,13.480416
-144.34332,123,13.958871
-195.4073,163,14.388106
-317.0004,250,17.532347
-64.315865,36,17.625532
-133.79657,71,17.815287
-208.79657,250,18.430561
-194.69371,222,18.945235
-120.7752,81,19.157903
-54.509468,7,19.192356
-62.148216,13,19.243068
-51.602367,6,19.279229
-207.22719,250,20.180639
-55.264458,10,20.243989
-55.540073,14,20.321216
-85.88823,47,20.446398
-56.927834,7,20.481787
-64.87418,15,20.525704
-88.07352,79,20.753444
36.998756,50,20.856206
-157.83092,215,21.404993
-291.7992,230,22.099243
-74.84915,67,22.240425
-54.4195,5,22.26895
-62.83925,15,22.308426
-81.997894,24,22.371022
-70.48279,17,22.416623
-170.72798,250,24.455724
47.034096,12,24.549945
-77.355316,50,24.741271
-83.10699,57,25.054308
-55.066067,8,25.139961
-210.49889,250,25.896726
-84.08525,36,26.03928
-109.9335,124,26.513987
-180.31459,250,26.991626
-115.05749,46,27.168439
-55.06274,8,27.235728
-72.75932,23,27.334763
-165.11264,110,27.735881
-132.50505,85,28.21715
-144.0621,148,28.685688
-121.73205,80,28.889811
-98.786446,65,29.081497
-57.676445,21,29.173777
-92.61061,48,29.346859
-60.128334,13,29.433255
-55.23284,5,29.509246
30.446241,47,29.703883
-102.29482,45,29.825501
-89.86433,90,30.040308
-33.966652,134,30.669772
-207.07722,163,37.71887
25.271116,76,38.043034
-104.58355,39,38.25351
-210.4035,250,39.606891
-52.029587,6,39.693223
-25.523514,151,40.394675
-89.35496,37,40.603698
-70.360954,18,40.74824
-59.417015,9,40.821063
29.79015,58,41.091423
-137.16476,179,42.369114
-50.92854,3,42.432322
-79.87444,33,42.582271
-344.62585,248,43.907546
-63.049473,15,44.073603
-61.27208,10,44.210086
-167.99786,100,44.76408
-55.495785,9,44.873722
-98.49347,47,45.108022
-98.434364,87,45.404116
-276.10925,213,46.335922
-109.275314,44,46.561773
-277.449,250,47.917698
-60.6715,16,47.995739
-67.194565,22,48.136065
-36.03196,138,51.720841
-31.209885,116,52.038698
-53.188637,12,52.094343
-213.05081,250,52.792813
-69.33168,32,52.874657
-68.47456,24,52.976236
26.366749,63,53.169012
-57.26124,7,53.230943
-324.20288,213,53.891622
-126.9055,58,54.039171
-190.96521,194,54.497431
-199.32672,162,54.909612
-127.72612,218,55.432363
-195.62283,250,56.092553
-93.6868,57,56.205752
-160.89746,154,56.557044
-50.56503,3,56.592621
-271.06702,250,58.587047
-266.07086,250,58.934446
50.0,1,58.95138
-218.37817,250,59.354706
-213.41364,250,59.731064
-99.286865,52,59.824908
-52.14784,4,59.846764
-81.36588,38,59.922162
-185.81593,250,60.293876
-54.59807,8,60.342854
40.728935,27,60.410189
-66.94324,13,60.445422
-13.304264,149,60.661542
-266.72513,250,61.002423
-74.224724,25,61.054787
-225.96025,203,61.340388
-11.2112465,104,61.485479
-155.19968,181,62.589735
-55.261272,6,62.6367
-167.7038,118,62.822574
-71.93106,45,62.89469
-149.85345,147,63.109941
-60.519173,12,63.13915
-25.545639,141,63.339958
43.448986,17,63.385989
-106.450096,72,63.507175
-270.45825,250,63.875607
-207.09006,250,64.217298
-109.22408,118,64.402098
-61.709255,12,64.434384
-57.48387,14,64.475033
43.831528,13,64.511897
-61.046535,11,64.543693
49.158577,4,64.565525
-236.72914,250,64.902732
-97.94273,52,64.990903
-143.70383,78,65.10559
-70.918,18,65.145682
-84.308945,23,65.190303
