#{"t_start": 1768508047.436998, "env_id": "None"}
r,l,t
-60.195274,20,0.150703
-88.23746,53,0.251097
-51.406,3,0.27076
-74.18205,26,0.326294
-77.59422,42,0.413467
-60.294933,31,0.481428
-95.79254,250,1.069817
-175.64195,98,1.433389
-77.71779,235,1.907734
-100.253845,103,2.247909
-85.50664,95,2.526123
-61.88891,11,2.576608
15.175865,67,2.783455
-70.662506,16,2.855657
-90.87529,57,2.990378
-108.94639,42,3.091472
39.89056,34,3.172236
-154.1434,68,3.31963
-293.87244,250,4.266956
-81.45632,84,4.462972
-52.110527,3,4.497431
-59.038822,10,4.543153
-54.5671,5,4.58197
-291.25107,250,5.501861
-154.97534,121,6.021857
-240.5411,250,9.79978
-217.08412,207,10.452025
-253.51343,226,11.222414
-56.85563,18,11.295123
-74.9917,19,11.36383
-253.59009,250,11.92383
-84.39155,40,12.06949
-222.9968,250,12.52964
-70.706795,23,12.581637
