#{"t_start": 1768476126.0916765, "env_id": "None"}
r,l,t
-136.34525,182,2.384398
-174.0459,165,2.653002
-59.87106,13,2.713058
-52.40711,4,2.754584
-60.125557,14,2.812617
-6.547783,127,3.016037
-112.177795,55,3.122237
-136.93765,73,3.260506
19.584743,58,3.370575
-51.265686,3,3.412894
-102.19946,207,3.732573
-84.66701,31,3.816997
-52.098984,4,3.856256
-53.960827,4,3.902978
-91.52321,63,4.031564
-61.411522,9,4.084852
49.75858,3,4.125818
-237.40482,198,4.455502
-102.14017,39,4.545978
-44.273476,195,4.87199
-65.72359,13,4.927034
-63.390663,13,4.986204
-61.499275,12,5.037909
-173.08093,102,5.202281
-153.80817,127,5.398246
-144.34332,123,5.592758
-195.4073,163,5.830055
-317.0004,250,7.20036
-64.315865,36,7.26926
-133.79657,71,7.400223
-208.79657,250,7.782297
-194.69371,222,8.096179
-120.7752,81,8.232228
-54.509468,7,8.260561
-62.148216,13,8.29218
-51.602367,6,8.313702
-207.22719,250,8.675553
-55.264458,10,8.703292
-55.540073,14,8.739526
-85.88823,47,8.852545
-56.927834,7,8.880806
-64.87418,15,8.918341
-88.07352,79,9.044074
36.998756,50,9.126587
-157.83092,215,9.433001
-291.7992,230,9.730996
-74.84915,67,9.840863
-54.4195,5,9.863265
-62.83925,15,9.901073
-81.997894,24,9.950511
-70.48279,17,9.989416
-170.72798,250,11.249093
47.034096,12,11.279487
-77.355316,50,11.360704
-83.10699,57,11.459332
-55.066067,8,11.487563
-210.49889,250,11.829564
-84.08525,36,11.892309
-109.9335,124,12.079514
-180.31459,250,12.493833
-115.05749,46,12.572318
-55.06274,8,12.599071
-72.75932,23,12.645389
-165.11264,110,12.806485
-132.50505,85,12.933688
-144.0621,148,13.13993
-121.73205,80,13.252372
-98.786446,65,13.385909
-57.676445,21,13.431465
-92.61061,48,13.511194
-60.128334,13,13.545462
-55.23284,5,13.56795
30.446241,47,13.643912
-102.29482,45,13.715606
-89.86433,90,13.883311
-33.966652,134,14.083119
-207.07722,163,15.241319
25.271116,76,15.343925
-104.58355,39,15.407251
-210.4035,250,15.770484
-52.029587,6,15.796595
-25.523514,151,15.997901
-89.35496,37,16.063505
-70.360954,18,16.098752
-59.417015,9,16.12671
29.79015,58,16.22338
-137.16476,179,16.465886
-50.92854,3,16.485065
-79.87444,33,16.543072
-344.62585,248,16.873036
-63.049473,15,16.918031
-61.27208,10,16.948797
-167.99786,100,17.098395
-55.495785,9,17.128577
-98.49347,47,17.201616
-98.434364,87,17.322865
-276.10925,213,17.60886
-109.275314,44,17.696942
-277.449,250,18.060153
-60.6715,16,18.095007
-67.194565,22,18.143483
-36.03196,138,19.24837
-31.209885,116,19.458908
-53.188637,12,19.487994
-213.05081,250,19.83635
-69.33168,32,19.932136
-68.47456,24,19.994425
26.366749,63,20.098567
-57.26124,7,20.122452
-324.20288,213,20.41529
-126.9055,58,20.505438
-190.96521,194,20.772732
-199.32672,162,21.040688
-127.72612,218,21.33137
-195.62283,250,21.656956
-93.6868,57,21.743817
-160.89746,154,21.95135
-50.56503,3,21.971132
-271.06702,250,23.298833
-266.07086,250,23.631521
50.0,1,23.647632
-218.37817,250,23.98438
-213.41364,250,24.334994
-99.286865,52,24.421263
-52.14784,4,24.442526
-81.36588,38,24.512823
-185.81593,250,24.873943
-54.59807,8,24.900205
40.728935,27,24.953273
-66.94324,13,24.988083
-13.304264,149,25.208963
-266.72513,250,25.563417
-74.224724,25,25.618331
-225.96025,203,25.911665
-11.2112465,104,26.131063
-155.19968,181,27.328972
-55.261272,6,27.354282
-167.7038,118,27.537883
-71.93106,45,27.616657
-149.85345,147,27.846366
-60.519173,12,27.877095
-25.545639,141,28.090593
43.448986,17,28.129845
-106.450096,72,28.243655
-270.45825,250,28.604359
-207.09006,250,29.03487
-109.22408,118,29.255258
-61.709255,12,29.288463
-57.48387,14,29.324926
43.831528,13,29.362205
-61.046535,11,29.396516
49.158577,4,29.419192
-236.72914,250,29.912847
-97.94273,52,30.042628
