#{"t_start": 1768415924.0466733, "env_id": "None"}
r,l,t
-136.34525,182,2.682152
-174.0459,165,3.034413
-59.87106,13,3.091848
-52.40711,4,3.143797
-60.125557,14,3.206255
-6.547783,127,3.442822
-112.177795,55,3.646519
-136.93765,73,4.099702
19.584743,58,4.299296
-51.265686,3,4.354055
-102.19946,207,4.84386
-84.66701,31,4.985432
-52.098984,4,5.049393
-53.960827,4,5.105851
-91.52321,63,5.263132
-61.411522,9,5.324037
49.75858,3,5.38272
-310.63953,244,6.486983
-89.7227,35,6.584404
48.404915,11,6.627871
-78.89684,24,6.697776
-133.32645,80,6.87317
-93.42958,39,6.963559
-262.78763,170,7.358702
-134.19434,96,7.541298
-150.65009,123,7.808977
-194.58076,163,8.176801
-332.6688,266,9.275244
-58.61663,20,9.34443
-250.11473,181,9.770967
-239.03726,190,10.172007
-61.711674,16,10.236597
-1673.813,2156,14.99062
-114.25589,78,15.133858
-113.928024,88,15.321157
-62.366478,29,15.407208
-68.45153,18,15.462842
-63.171753,24,15.525872
-53.548527,6,15.564636
-67.99622,23,15.623394
-88.85535,30,16.346189
-65.45293,14,16.389769
-80.999886,66,16.517919
31.876053,50,16.615101
-85.28829,70,16.783657
-132.96245,154,17.065513
-50.44142,3,17.089995
-52.204987,3,17.111819
-71.45146,24,17.177129
-64.704254,13,17.216136
-133.32635,98,17.393828
-76.9688,57,17.50026
41.490757,30,17.573813
-75.69053,73,17.705868
-76.19235,32,17.768191
-108.14029,72,17.915224
-103.032974,69,18.109252
-86.031586,45,18.25745
-78.77108,61,18.40537
-98.02728,90,19.299054
-215.43907,113,19.638415
-103.744156,101,19.927202
-215.89435,141,20.281931
-184.07436,184,20.845521
-70.37322,20,20.909874
-108.028305,89,21.090523
-244.64441,186,21.513049
-249.96628,299,22.709141
-57.48541,20,22.776207
-58.612366,9,22.818905
-76.54255,29,22.922276
-94.2511,35,23.067394
-92.35631,107,23.298373
-53.83248,4,23.324823
-31.801826,170,23.640397
-94.39252,37,23.715593
-70.97212,27,23.779962
-69.15622,29,23.862474
-94.4525,32,23.959513
-137.27501,69,24.153736
-61.909813,18,24.220169
-126.63358,182,24.632019
-69.85277,19,24.689219
-85.130905,32,24.761689
-68.13365,14,24.801777
-145.65099,138,25.669023
-83.07565,71,25.822178
-62.14559,24,25.900127
-77.30524,30,25.990006
-309.27316,279,26.554441
-365.52963,362,27.369781
-61.961212,10,27.403039
-108.18578,73,27.543458
-55.619568,14,27.592515
-55.93529,7,27.624305
-201.03627,197,28.427756
-146.38089,92,28.58004
-57.441513,7,28.608815
-93.19818,47,28.691503
-63.10847,22,28.748072
-94.61639,56,28.85114
-113.56352,82,28.986334
-53.547115,4,29.015168
48.8,6,29.044104
-137.7005,134,29.289761
-60.71232,13,29.335793
-70.26799,30,29.4066
37.193428,41,29.488861
-53.246803,4,29.511869
-678.3281,741,31.067446
-68.36475,16,31.102796
-32.851303,161,31.344718
-133.59622,82,31.476413
