#{"t_start": 1768468093.3806627, "env_id": "None"}
r,l,t
-136.34525,182,2.874371
-174.0459,165,3.165371
-59.87106,13,3.22086
-52.40711,4,3.267368
-60.125557,14,3.322224
-6.547783,127,3.555046
-112.177795,55,3.679455
-136.93765,73,3.81584
19.584743,58,3.930825
-51.265686,3,3.972842
-102.19946,207,4.385988
-84.66701,31,4.470734
-52.098984,4,4.51439
-53.960827,4,4.574201
-91.52321,63,4.737146
-61.411522,9,4.790258
49.75858,3,4.832044
-237.40482,198,5.172514
-102.14017,39,5.268889
-44.273476,195,5.638639
-65.72359,13,5.701123
-63.390663,13,5.75788
-61.499275,12,5.824951
-173.08093,102,6.007929
-153.80817,127,6.216315
-144.34332,123,6.448759
-195.4073,163,6.780906
-798.94476,657,8.642263
-55.688232,16,8.702638
-76.93129,21,8.76524
-481.28815,652,9.734422
-83.11171,41,9.799943
-1219.9066,1497,12.812027
-63.679634,16,12.862046
-123.30612,95,13.038824
-61.32215,29,13.141809
-123.25362,71,13.31597
-68.123695,30,13.401386
-59.725483,14,13.458194
-100.39592,78,13.615664
-100.2119,42,13.710332
-75.351524,25,13.773464
46.140545,13,13.808008
-189.73293,183,14.125127
-85.82817,87,14.295819
-304.00128,216,14.65842
49.9,2,14.680017
-83.15886,27,14.738397
-118.353676,72,14.854526
-178.17705,188,15.128
-55.116226,5,15.152494
-104.669815,85,16.074852
44.57486,16,16.111712
-133.52188,140,16.331856
-77.93022,35,16.399944
-60.818798,12,16.437872
-53.397057,6,16.462571
-197.05511,133,16.709586
-126.02523,184,17.027673
-255.91936,259,17.45038
-89.02411,29,17.511711
-73.64554,32,17.577778
-297.03986,209,17.960115
-117.24824,69,18.100168
-66.47732,16,18.145387
-91.546936,73,18.285282
-127.721596,88,18.432959
-101.9348,97,18.612086
47.692894,7,18.645566
-64.27929,15,18.684561
-74.72426,28,18.746303
-60.078957,9,18.780787
-97.49017,77,18.951363
-78.01396,24,19.051523
-87.88524,261,19.504975
-112.46565,49,19.603953
-91.2991,62,19.719579
-55.16423,9,19.753067
-69.08072,14,19.791451
4.1405716,66,19.898792
-61.957687,27,20.900522
-67.496735,36,21.011447
-66.33336,19,21.091183
-54.521053,5,21.128184
-104.55292,77,21.356814
-63.528797,40,21.513879
35.776073,44,21.650533
-52.034523,4,21.706636
-75.95521,32,21.823693
-203.93144,138,22.198218
-53.03631,6,22.275606
-58.36313,9,22.322993
-206.97693,135,22.724814
-68.41385,42,22.873574
-63.12838,15,22.943058
-62.17581,12,22.998999
-165.74017,102,23.277927
-76.3217,19,23.33413
-134.01111,75,23.533592
-58.9794,11,23.613898
-63.519173,21,23.685581
-413.5342,398,24.602364
-71.82963,22,24.669832
50.0,1,24.717569
-64.37499,28,24.829782
-89.25993,45,25.009275
-51.124264,3,25.048142
-57.909515,29,25.123905
-230.0832,230,25.626081
-120.10938,57,25.808594
-60.06326,9,25.853815
46.679337,11,25.886013
-67.78374,18,25.929391
-133.01514,127,26.144658
33.838726,48,26.239014
-41.698074,127,26.443035
43.286472,17,26.479992
-52.54787,11,26.508901
42.96349,25,27.360838
-158.67644,140,27.65533
-54.681126,10,27.731249
37.921196,38,27.828024
-160.29318,159,28.146719
-60.36339,12,28.177372
-58.92708,26,28.226414
-167.27667,99,28.3817
-86.91402,39,28.44871
-56.54876,10,28.477824
-186.1861,232,28.810946
-120.36302,52,28.892963
-523.3324,487,29.545675
-248.43262,181,29.791209
-168.90428,130,29.974133
-181.73114,169,30.253855
-97.148285,63,30.34792
-60.22605,17,30.383903
-96.388504,51,30.473097
-99.660675,55,30.556831
-36.46382,133,31.512907
-127.22251,90,31.670608
-101.04343,49,31.748072
-52.172962,3,31.767308
39.393524,26,31.818831
-90.0043,50,31.905715
-86.54973,41,31.974815
