#{"t_start": 1768468323.0615413, "env_id": "None"}
r,l,t
-130.27086,174,0.435177
-251.04353,436,1.215418
-100.408394,92,1.383015
-127.18015,204,1.713219
-87.779785,47,1.804425
-82.817795,57,1.914102
-111.39276,193,2.238434
-135.47824,78,2.378331
-71.65015,48,2.475681
-88.98517,82,2.6255
15.8609085,69,2.744977
-59.74249,11,2.789281
-73.86131,29,2.852684
-125.6274,57,2.969548
5.694412,111,3.207323
-154.8246,84,3.36514
-92.62923,71,3.498911
-181.30069,198,3.868992
-69.76159,30,4.966092
-218.63799,358,5.591156
-91.83665,38,5.675337
-118.78652,71,5.804461
-74.48673,24,5.867944
-171.371,315,6.446535
-2.9858513,183,6.747183
-2.6652222,101,6.927165
-141.58395,184,7.257104
-410.65555,584,8.246439
-70.83637,47,8.340411
-117.22752,57,8.48798
-87.95653,285,10.110564
-86.749596,41,10.191214
-149.00195,179,10.540395
-54.982452,7,10.570719
-94.34248,268,11.074094
-60.476593,40,11.153666
-101.7933,127,11.407424
-54.30576,12,11.458973
29.700779,57,11.626771
-67.757706,25,11.707728
-88.77393,41,11.822299
-73.75096,23,11.879671
-74.51823,66,12.035846
47.01388,13,12.0975
-79.10925,56,12.224094
-81.153854,33,12.303878
-82.120255,82,12.456082
-95.555695,41,12.541678
-69.79068,21,12.620241
-85.11549,29,12.702696
-77.94438,45,12.802381
-73.86218,53,12.912443
46.36907,16,12.964213
14.926964,139,13.232317
-108.671005,155,13.562011
-75.24651,31,13.635273
-57.09668,12,13.671388
-74.92311,31,13.74292
-74.61895,53,13.856016
-139.70862,140,15.127232
-161.2563,77,15.284265
-82.909065,48,15.377064
-80.82309,36,15.461885
-107.21884,87,15.628406
-125.87573,85,15.823818
-65.91268,36,15.91639
-85.03722,48,16.024525
-455.9881,832,17.508319
-62.87453,35,17.585546
16.646729,97,17.763432
-109.493546,118,17.983578
-65.84059,14,18.026723
0.84716415,94,18.24643
-150.92186,85,18.413276
-0.42284775,138,18.663564
1.271183,94,18.875868
-87.374084,52,18.991103
-302.29053,380,20.664722
-62.068146,10,20.699492
-94.6764,99,20.893241
-86.02267,92,21.112434
-65.158844,42,21.209374
-157.11731,270,21.683475
-90.31044,42,21.769271
-72.33403,19,21.821874
-137.04314,144,22.085004
-103.91625,167,22.394954
-70.15849,39,22.477237
-55.98573,9,22.51242
-121.07544,137,22.784596
-127.31841,99,23.000587
-93.85027,40,23.094703
10.3131485,116,23.342272
-58.145287,20,23.397651
-250.60652,392,25.09473
-220.13734,279,25.651269
-114.4323,108,26.215353
-110.97397,49,26.414753
-86.39886,44,26.569858
-83.91981,52,26.683288
-246.10771,240,27.117399
-85.307846,50,27.226662
-52.133568,3,27.260063
42.01716,26,27.328178
-106.70293,112,27.550868
-152.62222,363,28.277397
-83.132614,50,28.392227
47.763496,17,28.443464
-102.25202,55,28.571175
-8.730171,101,28.75523
19.910263,53,28.871258
-93.184875,94,29.052599
-105.01647,58,29.175077
-169.13109,177,29.506705
23.44099,91,29.681136
29.85295,55,30.875797
-259.97388,391,31.574564
48.7,11,31.613657
-84.89676,70,31.767012
-60.263252,17,31.818225
46.4,14,31.857987
-58.15506,33,31.945569
-67.35919,43,32.042789
-74.28736,28,32.110494
28.451492,61,32.236912
-75.96621,30,32.32315
-74.837234,58,32.471621
-133.41074,222,32.910447
-65.508514,35,32.99323
-117.05912,63,33.133261
-66.373535,37,33.223497
-82.149025,31,33.307573
-119.812675,69,33.445642
-87.69186,57,33.564349
-149.25864,175,33.89337
-165.38318,207,34.343727
-212.91425,327,34.963583
-78.188034,55,36.113943
32.528545,56,36.241287
26.331772,51,36.368942
-150.81528,115,36.592508
-153.32593,126,36.838318
-150.323,190,37.213963
-77.43404,38,37.3079
-89.47392,65,37.444794
-75.52733,37,37.532807
23.766823,106,37.780435
-104.71751,53,37.891069
-113.73305,92,38.07903
-62.941498,24,38.14609
-52.231285,4,38.17255
-80.06015,68,38.316936
-79.061325,42,38.412551
-168.43625,124,38.654095
-9.349213,106,38.86044
-173.25648,115,39.104518
-52.577106,3,39.140553
-97.72628,49,39.256216
-75.69289,97,39.515535
-147.01692,100,39.716583
-51.12221,3,39.74679
-59.590904,18,39.801897
-78.73286,49,39.916586
-52.42462,5,39.951699
10.113064,117,40.231904
-89.30741,47,40.348007
-72.78141,22,40.418155
-75.881004,31,40.503569
-97.47733,61,40.629967
-77.74213,64,41.796855
-90.713196,48,41.911132
-102.14045,57,42.035739
-52.673862,3,42.066436
-154.97458,182,42.412388
39.655964,41,42.543881
-75.85254,32,42.631517
-106.14944,44,42.732457
-101.74077,63,42.876535
-54.9002,7,42.913035
-57.04515,29,42.988267
-68.74661,27,43.056892
-107.281395,81,43.259105
-69.086624,62,43.424406
-72.45715,40,43.516875
-134.94083,137,43.830243
50.0,1,43.857721
-91.38419,85,44.034487
41.88371,19,44.093347
-120.71597,163,44.403965
-99.89276,63,44.541725
-189.70775,164,44.856867
-73.80382,43,44.97907
-62.72649,19,45.046304
-61.122086,17,45.103779
-56.211937,9,45.146982
-121.77665,113,45.416571
-65.98223,31,45.540632
-65.3185,22,45.636755
-138.81,149,46.042905
-59.327972,10,46.087956
-185.38234,252,47.604438
-83.710724,31,47.69447
-102.503784,291,48.291138
-63.22085,43,48.402921
-56.113335,8,48.439877
-55.55742,11,48.483542
-128.1611,126,48.731268
-85.47136,53,48.841698
-66.05132,26,48.913322
-63.676422,31,49.001812
-52.321064,3,49.028255
42.514732,32,49.104635
-51.64222,3,49.135518
-139.74303,193,49.506155
-57.618595,7,49.538473
-57.857197,17,49.589966
29.717796,66,49.732172
-56.642498,16,49.797967
-113.483765,80,49.997207
-51.12221,3,50.029236
26.914036,70,50.177508
-75.147354,21,50.261415
-147.81018,170,50.736074
24.796043,40,50.854855
-60.373405,10,50.909695
-65.023506,35,51.035628
-76.573395,24,51.122687
16.838776,63,51.301126
-56.589127,9,51.352365
33.866333,28,51.434831
-64.8069,32,51.54483
-50.56503,3,51.595396
-122.94444,186,52.069246
41.17636,20,52.154438
-145.08621,234,53.088946
-78.396126,43,53.305204
-61.675533,32,55.682116
-72.14108,38,56.127757
-83.51097,77,56.713515
-63.396973,38,56.911853
-78.85393,54,57.088892
-52.42257,3,57.126914
-56.191032,14,57.190175
-96.411964,47,57.361087
-189.848,532,58.697942
-60.06884,13,58.763467
-88.458374,62,58.983866
-58.771675,17,59.06838
-67.76481,23,59.156985
