#{"t_start": 1768392928.3261876, "env_id": "None"}
r,l,t
-54.740597,11,2.28434
-395.8358,365,2.820805
-76.32147,55,2.942461
-54.513332,6,2.989877
-54.05891,6,3.030759
44.496494,11,3.081234
-107.55094,84,3.225194
-78.1602,26,3.299952
-104.0668,71,3.458772
-55.16412,8,3.506315
-127.096375,89,3.663402
-86.23648,29,3.735779
-63.25979,19,3.804285
-82.599174,23,3.877813
47.04627,11,3.935212
-56.908318,6,3.981572
35.661114,43,4.072697
-341.0624,246,5.054383
-804.17584,656,5.931947
45.863495,11,5.963265
-76.09639,21,6.005715
-54.421738,5,6.032526
-66.982834,19,6.07109
-282.7612,287,7.136376
-125.909515,97,7.276337
-62.609634,187,7.528496
-87.70712,195,7.803572
-112.05392,53,7.883999
-57.10702,18,7.921679
-56.62298,6,7.948623
-165.49216,382,8.473927
-110.18761,79,9.256361
-110.78021,110,9.415601
-58.31672,12,9.447412
-91.3876,72,9.559536
-56.36251,15,9.598907
-104.5084,69,9.708973
-83.80914,72,9.820858
-52.07148,5,9.844486
-70.067535,24,9.889632
-20.650116,103,10.039434
-53.433712,4,10.060076
-68.06714,55,10.149969
50.0,1,10.166436
-80.61669,68,10.271101
14.3658905,55,10.360642
-58.581593,28,10.413636
-55.937634,6,10.436944
-63.01587,13,10.47208
23.068928,33,10.538608
-68.74408,37,10.600641
-74.576805,38,10.669426
-59.16224,27,10.717697
-73.84071,26,10.771859
-52.130516,4,10.793922
-65.76302,20,10.836672
-52.624264,5,10.858813
-17.038597,82,11.614611
-432.92188,455,12.275658
21.458752,49,12.353634
-52.794636,3,12.37489
-196.69592,182,12.627949
-68.79739,24,12.675316
31.425684,43,12.74877
-63.867405,18,12.79409
7.7758102,93,12.927716
-69.17136,26,12.981646
-97.90979,53,13.071305
-52.17967,8,13.098269
-47.301033,133,13.970276
-67.38394,25,14.022162
-83.106995,23,14.071639
-172.12646,181,14.341711
-52.172962,3,14.362273
-136.64795,107,14.512325
-64.46002,15,14.553608
-71.50038,34,14.626457
-83.3269,57,14.743608
-55.220413,5,14.76661
-68.82997,20,14.808591
-51.702923,5,14.832877
-56.594128,12,14.862809
-56.430084,8,14.889549
-21.552536,151,15.107009
-58.812477,8,15.134558
-69.944496,46,15.217087
-73.84216,44,15.297302
-50.92854,3,15.321577
-55.304348,8,15.347882
-112.60959,71,15.46097
-51.265686,3,15.480946
11.76931,63,15.625655
-69.24362,18,15.678269
-58.18301,16,15.714389
-54.924408,6,15.738744
-58.477074,9,15.770237
-106.69477,61,16.358548
-81.29151,24,16.406591
-123.75986,69,16.513498
-128.21017,115,16.6895
38.348885,28,16.747667
-12.106113,109,16.904537
-70.06125,20,16.947241
50.0,1,16.965636
-109.99974,72,17.07723
-57.239647,8,17.105811
-52.550507,5,17.130188
-337.0781,434,17.732937
-58.626328,8,17.75946
-11.111317,69,17.919925
-54.08803,4,17.944762
27.202032,44,18.631833
-66.67403,17,18.678412
-23.171562,156,18.906136
3.435627,101,19.051248
-55.66996,149,19.272158
-254.90173,612,20.7967
48.8,3,20.819423
-69.727356,36,20.889109
19.836023,55,20.979303
43.7,12,21.009799
-104.115486,70,21.120745
31.844877,32,21.182291
-52.40711,4,21.203056
-55.134827,9,21.229447
-72.21421,21,21.271723
34.848816,31,21.339952
-117.618385,165,21.570868
42.617462,21,21.614844
-52.578773,3,21.635407
-77.22896,41,21.713703
-78.05469,26,21.767139
-59.07413,12,21.806395
-85.93181,59,21.907327
-105.595184,111,22.075931
-51.01231,3,22.097897
-79.21753,40,22.168866
-1051.4717,1639,25.761067
39.951168,35,25.831304
-58.976746,15,25.875994
-56.81611,8,25.905354
-53.790997,4,25.925894
45.86824,14,25.957607
-18.804062,136,26.191697
-62.13707,15,26.237702
-13.129204,109,26.398488
-95.336334,76,26.512504
-53.547115,4,26.533104
-54.0012,8,26.56061
14.005455,63,26.661128
-82.45769,43,26.753222
50.0,1,26.772266
-71.48871,37,26.842103
-52.872955,4,26.861628
-54.05439,4,26.885364
-403.56628,535,28.260786
-67.54405,16,28.29982
-75.971436,23,28.350809
-101.16034,136,28.547805
-55.960663,7,28.572241
-180.8532,196,28.894274
-285.99188,335,30.122749
-73.26764,37,30.197748
-52.93049,6,30.222987
-249.09882,434,30.808892
-51.453915,3,30.833123
-56.144318,7,30.862402
-114.94665,64,30.95791
7.1323624,93,31.099013
-12.797493,92,31.23404
-87.75868,41,31.303177
-167.712,113,32.255102
-66.851524,17,32.301226
-99.342865,100,32.456469
-87.78742,80,32.581792
-51.408276,3,32.602849
-0.7111244,56,32.691003
-78.10896,35,32.764083
-64.14711,16,32.800699
19.823744,78,32.919173
-102.72989,83,33.043103
-165.58873,292,33.451051
39.71442,32,33.507907
-96.04347,61,33.60397
-62.731583,18,33.647329
47.528522,12,33.701721
-79.3461,58,33.836498
-375.23868,389,34.944414
45.453274,12,35.036689
35.289642,35,35.174845
-58.252766,11,35.210407
17.878342,70,35.372747
-21.159172,125,35.612748
-76.192825,34,35.707195
-62.42449,19,35.752475
25.210178,58,35.84547
