#{"t_start": 1768414605.362627, "env_id": "None"}
r,l,t
-215.54628,249,0.507234
-673.1813,1172,2.604252
-83.46672,39,2.673962
-107.114006,60,2.780731
-84.52225,44,2.857023
-141.65036,221,3.180357
-611.757,882,4.861145
-135.2418,322,5.320784
-163.92477,211,6.015764
-73.16885,40,6.10735
-363.1168,397,6.723358
-100.589874,66,6.843556
-31.568008,189,7.122285
-760.1617,490,8.225819
-121.706215,93,8.377004
-92.60385,33,8.437127
-91.263756,98,8.604408
-173.05338,160,8.849643
-535.469,674,10.427435
-483.06238,502,11.153688
-160.37558,220,11.916868
-218.76784,234,12.251436
-357.12543,291,12.696893
-110.43791,259,13.092576
-58.752068,13,13.130166
-111.11347,147,13.344772
-90.07254,60,13.445849
-96.366905,99,14.036437
-2935.8032,2712,19.182229
-78.15033,27,19.232667
-622.9909,853,21.147732
-327.07376,529,22.852089
-73.979675,36,22.923177
-76.69096,33,22.990234
-178.83046,270,23.392637
-322.83356,432,24.055463
-61.08278,19,24.098562
-78.24364,75,24.250368
-193.20676,390,25.286
33.971073,44,25.382519
10.080559,95,25.524678
-52.827705,4,25.545831
49.9,3,25.564312
-507.22864,1340,27.885855
-177.88927,498,29.006937
-81.47227,63,29.130919
-158.49649,235,29.477341
-157.97696,237,29.83201
-91.9308,43,29.909665
-53.60337,4,29.932165
