#{"t_start": 1768414571.0761955, "env_id": "None"}
r,l,t
-136.34525,182,2.82397
-174.0459,165,3.165347
-59.87106,13,3.238543
-52.40711,4,3.285528
-60.125557,14,3.349387
-6.547783,127,3.647457
-112.177795,55,3.792138
-136.93765,73,3.957584
19.584743,58,4.107885
-51.265686,3,4.151466
-102.19946,207,4.51034
-84.66701,31,4.595727
-52.098984,4,4.63578
-53.960827,4,4.681332
-91.52321,63,4.81031
-61.411522,9,4.860902
49.75858,3,4.920014
-368.4462,279,5.732796
-401.62796,306,6.181766
49.75858,3,6.202419
-68.41884,15,6.240787
-73.70476,22,6.307967
-69.761856,18,6.358849
-183.37563,112,6.537939
-242.10707,237,6.884833
-713.7542,718,8.301936
-414.19366,624,9.634791
-178.82585,102,9.821718
-59.204506,23,9.867675
-58.63842,7,9.89099
-611.76715,788,10.937488
-64.34041,20,10.982613
-153.517,146,11.197798
-57.967915,11,11.233634
-8.537689,85,11.38709
-51.322678,5,11.413128
-146.26111,110,11.582906
-56.408207,15,11.627092
-52.914467,6,11.651758
-61.84498,15,11.68639
-221.9194,310,12.164637
-55.49138,6,12.189337
43.757484,25,12.241088
50.0,1,12.258463
-31.309402,170,12.898159
-95.949265,189,13.178071
50.0,1,13.195666
-98.19694,44,13.279606
-60.80963,12,13.316841
-115.621925,56,13.412835
-61.703876,13,13.450455
-69.44183,62,13.574217
-198.48909,278,13.987409
33.448235,35,14.054394
-63.069572,34,14.118469
-61.542522,18,14.160318
-143.26602,126,14.346664
-130.85693,66,14.465684
-64.209694,34,14.956131
-83.59641,52,15.040621
-123.448875,48,15.135092
-58.424274,14,15.17119
-81.43535,36,15.239012
-282.3713,332,15.718089
-65.26384,19,15.779561
-301.3213,252,16.218774
-109.08438,75,16.345402
-189.66238,227,17.1045
-63.11424,22,17.169369
-63.4596,14,17.214721
-111.10654,87,17.367782
-78.61063,23,17.414311
-87.757126,100,17.566906
-62.313824,11,17.600286
-114.253174,124,17.789435
-109.86235,61,17.89461
-75.60844,34,17.957106
-51.2,3,17.975792
-163.62895,85,18.138102
-262.80283,210,18.441651
-52.484818,5,18.471014
-89.668655,59,18.569672
-64.42574,14,18.606027
-102.691284,46,18.698954
-65.55645,16,18.744235
38.84327,45,18.825889
41.923267,36,19.286578
-75.92871,54,19.381525
-71.40517,31,19.458233
-102.09541,53,19.567187
-126.7262,115,19.783363
-78.06176,22,19.828298
-182.83365,116,20.015077
-54.84813,12,20.048595
-290.88425,269,20.506136
-235.6792,289,20.94051
-83.19144,27,20.993151
-193.00337,102,21.538696
-187.1945,147,21.771518
-56.95047,10,21.816792
-54.805527,7,21.870286
-80.843765,56,22.016364
-71.02328,21,22.070442
-61.17727,28,22.124737
-277.78528,340,22.677428
-130.61649,84,23.023125
-60.860054,19,23.088382
-273.864,248,24.077536
-84.940315,32,24.139776
-158.56833,108,24.336908
-73.07869,24,24.38567
-180.1319,193,24.670087
-76.83334,30,24.723276
-115.5879,132,24.925344
-134.32056,243,25.345165
14.678757,56,25.440022
38.607822,34,25.508865
49.0,4,25.530272
26.157125,47,25.619732
-84.862976,45,25.698905
42.95858,16,25.735566
36.993534,36,25.802
-94.80337,106,26.371685
-57.01245,8,26.40022
-52.686356,5,26.422906
-455.77646,423,27.059581
-72.52608,29,27.115224
-177.35062,197,27.432577
-96.599045,96,27.586732
-85.15294,33,27.673109
-93.17705,52,27.76219
-90.00333,42,27.837762
-158.60876,115,28.409711
-282.75107,279,28.821676
-258.58228,324,29.334091
-82.45755,57,29.422269
-62.706482,11,29.453657
-453.13766,636,30.794452
42.501804,20,30.835627
-114.442566,91,31.00901
-149.93655,122,31.206151
-63.854,12,31.240288
-70.31545,36,31.299841
-90.284744,49,31.397321
-275.99356,299,31.846861
-60.29937,9,31.882157
-182.17711,363,32.788775
-66.256195,128,33.021079
-65.14871,24,33.070693
