#{"t_start": 1768477211.7373118, "env_id": "None"}
r,l,t
-136.34525,182,1.848513
-174.0459,165,2.1049
-59.87106,13,2.176302
-52.40711,4,2.226443
-60.125557,14,2.292892
-6.547783,127,2.494115
-112.177795,55,2.621227
-136.93765,73,2.833512
19.584743,58,2.957586
-51.265686,3,2.99952
-102.19946,207,3.32074
-84.66701,31,3.394842
-52.098984,4,3.433786
-53.960827,4,3.478808
-91.52321,63,3.598065
-61.411522,9,3.645746
49.75858,3,3.686633
-237.40482,198,3.979965
-102.14017,39,4.070958
-44.273476,195,4.371284
-65.72359,13,4.434078
-63.390663,13,4.490617
-61.499275,12,4.544292
-173.08093,102,4.716975
-153.80817,127,4.920215
-144.34332,123,5.115051
-195.4073,163,5.369507
-317.0004,250,6.417719
-64.315865,36,6.478861
-133.79657,71,6.592048
-208.79657,250,6.96747
-194.69371,222,7.307731
-120.7752,81,7.433011
-54.509468,7,7.462769
-62.148216,13,7.496985
-51.602367,6,7.519029
-207.22719,250,7.848551
-55.264458,10,7.883156
-55.540073,14,7.923346
-85.88823,47,8.014251
-56.927834,7,8.040585
-64.87418,15,8.077472
-88.07352,79,8.195018
36.998756,50,8.281469
-157.83092,215,8.591023
-291.7992,230,8.991535
-74.84915,67,9.107102
-54.4195,5,9.129122
-62.83925,15,9.161596
-81.997894,24,9.217693
-70.48279,17,9.279819
-170.72798,250,10.460224
47.034096,12,10.491472
-77.355316,50,10.575394
-83.10699,57,10.666922
-55.066067,8,10.697778
-210.49889,250,11.035804
-84.08525,36,11.098706
-109.9335,124,11.317664
-180.31459,250,11.668809
-115.05749,46,11.752218
-55.06274,8,11.785897
-72.75932,23,11.841384
-165.11264,110,12.005535
-132.50505,85,12.138764
-144.0621,148,12.353581
-121.73205,80,12.475714
-98.786446,65,12.5815
-57.676445,21,12.624054
-92.61061,48,12.700859
-60.128334,13,12.731874
-55.23284,5,12.753361
30.446241,47,12.829714
-102.29482,45,12.902924
-89.86433,90,13.039545
-33.966652,134,13.218515
-207.07722,163,14.216175
25.271116,76,14.324684
-104.58355,39,14.387371
-210.4035,250,14.729952
-52.029587,6,14.760927
-25.523514,151,14.996824
-89.35496,37,15.06107
-70.360954,18,15.101197
-59.417015,9,15.128031
29.79015,58,15.21473
-137.16476,179,15.466614
-50.92854,3,15.489242
-79.87444,33,15.545555
-344.62585,248,15.903152
-63.049473,15,15.936363
-61.27208,10,15.964898
-167.99786,100,16.120446
-55.495785,9,16.152034
-98.49347,47,16.228956
-98.434364,87,16.35033
-276.10925,213,16.639882
-109.275314,44,16.712091
-277.449,250,17.083114
-60.6715,16,17.119344
-67.194565,22,17.166241
-36.03196,138,18.180906
-31.209885,116,18.352125
-53.188637,12,18.386039
-213.05081,250,18.731027
-69.33168,32,18.790411
-68.47456,24,18.842741
26.366749,63,18.938993
-57.26124,7,18.962259
-324.20288,213,19.252858
-126.9055,58,19.345399
-190.96521,194,19.625106
-199.32672,162,19.843335
-127.72612,218,20.151902
-195.62283,250,20.505442
-93.6868,57,20.592611
-160.89746,154,20.808576
-50.56503,3,20.833762
-271.06702,250,22.055053
-266.07086,250,22.439954
50.0,1,22.456745
-218.37817,250,22.800732
-213.41364,250,23.143647
-99.286865,52,23.225408
-52.14784,4,23.245257
-81.36588,38,23.316363
-185.81593,250,23.654931
-54.59807,8,23.681563
40.728935,27,23.731436
-66.94324,13,23.764776
-13.304264,149,23.987897
-266.72513,250,24.356338
-74.224724,25,24.410198
-225.96025,203,24.726198
-11.2112465,104,24.879496
-155.19968,181,25.858351
-55.261272,6,25.882278
-167.7038,118,26.043688
-71.93106,45,26.118517
-149.85345,147,26.315831
-60.519173,12,26.345132
-25.545639,141,26.541512
43.448986,17,26.577038
-106.450096,72,26.69107
-270.45825,250,27.094136
-207.09006,250,27.445215
-109.22408,118,27.620495
-61.709255,12,27.649483
-57.48387,14,27.684881
43.831528,13,27.72125
-61.046535,11,27.751494
49.158577,4,27.774079
-236.72914,250,28.113193
-97.94273,52,28.195697
-143.70383,78,28.323493
-70.918,18,28.363032
-84.308945,23,28.405104
-84.18683,28,28.454929
-72.92512,37,28.516791
-52.480644,4,28.537109
-136.6688,126,28.717622
-115.50916,83,28.828159
-75.01628,37,28.896205
-62.450985,16,28.929965
-174.69452,189,29.950751
-57.84441,10,29.981817
-83.17184,29,30.037259
-110.98181,55,30.123474
-60.997124,22,30.163852
-97.40367,63,30.253175
-55.985844,7,30.275919
-154.41425,95,30.40839
-77.4534,21,30.449507
-5.693569,90,30.58252
-303.4729,221,30.875153
-118.18578,76,30.987147
-74.778305,22,31.031765
-128.48154,106,31.184799
-91.96138,61,31.309279
-62.37765,43,31.378577
-163.21136,250,31.715256
-278.97476,250,32.048414
-66.09627,42,32.123601
-92.72637,61,32.217934
-81.52754,46,32.300571
49.9,2,32.323941
-60.07203,21,32.367173
-112.46727,78,32.479213
34.65732,35,32.544415
-157.80228,185,33.553281
-237.15001,168,33.787559
-125.520645,142,33.99042
-41.66104,168,34.217125
-60.116814,17,34.255723
-195.7047,146,34.450423
-85.445175,53,34.541491
-62.716827,34,34.602086
-216.72261,204,34.867423
50.0,1,34.886361
-52.03701,4,34.907935
-105.7782,63,34.996766
-213.18005,250,35.335592
-87.66966,28,35.383633
14.759308,88,35.521473
-90.01606,44,35.590635
-61.591526,20,35.637165
-96.520805,37,35.723301
-62.50568,18,35.764677
-53.663403,6,35.789388
-126.854,127,35.977228
-65.4834,13,36.01694
-82.6578,54,36.119604
7.8504753,88,36.303583
-317.26514,239,36.684316
-57.513607,7,36.710998
1.2416115,104,37.759856
-215.71779,250,38.238126
9.868408,88,38.411874
-278.0374,230,38.77839
-104.27464,83,38.908662
-25.759148,111,39.168352
-65.37752,12,39.207938
-262.26535,250,39.637843
-270.93015,250,40.139737
-245.28903,250,40.588974
-113.3862,132,40.818712
-68.852936,17,40.858804
-203.37383,250,41.258702
