#{"t_start": 1768473316.857089, "env_id": "None"}
r,l,t
-136.34525,182,3.287879
-174.0459,165,3.549304
-59.87106,13,3.607997
-52.40711,4,3.647556
-60.125557,14,3.704558
-6.547783,127,3.935249
-112.177795,55,4.044063
-136.93765,73,4.176211
19.584743,58,4.293699
-51.265686,3,4.339211
-102.19946,207,4.704394
-84.66701,31,4.781501
-52.098984,4,4.825342
-53.960827,4,4.869349
-91.52321,63,4.999255
-61.411522,9,5.064844
49.75858,3,5.126532
-237.40482,198,5.471591
-102.14017,39,5.577048
-44.273476,195,5.86464
-65.72359,13,5.919055
-63.390663,13,5.974895
-61.499275,12,6.040083
-173.08093,102,6.354039
-153.80817,127,6.637554
-144.34332,123,6.848451
-195.4073,163,7.117672
-317.0004,250,8.537709
-64.315865,36,8.603183
-133.79657,71,8.736634
-208.79657,250,9.119932
-194.69371,222,9.458699
-120.7752,81,9.590573
-54.509468,7,9.619633
-62.148216,13,9.667078
-51.602367,6,9.696787
-207.22719,250,10.087953
-55.264458,10,10.12044
-55.540073,14,10.158682
-85.88823,47,10.250746
-56.927834,7,10.280057
-64.87418,15,10.331134
-88.07352,79,10.479755
36.998756,50,10.589835
-157.83092,215,10.945541
-291.7992,230,11.268497
-74.84915,67,11.409876
-54.4195,5,11.435696
-62.83925,15,11.477759
-81.997894,24,11.535639
-70.48279,17,11.57948
-170.72798,250,12.872077
47.034096,12,12.902479
-77.355316,50,12.987941
-83.10699,57,13.079841
-55.066067,8,13.10726
-210.49889,250,13.486622
-84.08525,36,13.547036
-109.9335,124,13.739589
-180.31459,250,14.079117
-115.05749,46,14.153324
-55.06274,8,14.185856
-72.75932,23,14.248547
-165.11264,110,14.449576
-132.50505,85,14.600874
-144.0621,148,14.888536
-121.73205,80,15.041393
-98.786446,65,15.151604
-57.676445,21,15.205662
-92.61061,48,15.298733
-60.128334,13,15.340278
-55.23284,5,15.367979
30.446241,47,15.471794
-102.29482,45,15.753403
-89.86433,90,16.20453
-33.966652,134,16.475633
-207.07722,163,17.606895
25.271116,76,17.740467
-104.58355,39,17.80625
-210.4035,250,18.153559
-52.029587,6,18.181616
-25.523514,151,18.416022
-89.35496,37,18.480074
-70.360954,18,18.517649
-59.417015,9,18.546512
29.79015,58,18.644088
-137.16476,179,18.949097
-50.92854,3,18.972356
-79.87444,33,19.039071
-344.62585,248,19.401371
-63.049473,15,19.434796
-61.27208,10,19.461554
-167.99786,100,19.618268
-55.495785,9,19.653997
-98.49347,47,19.743241
-98.434364,87,19.8711
-276.10925,213,20.178774
-109.275314,44,20.257632
-277.449,250,20.637642
-60.6715,16,20.693849
-67.194565,22,20.749408
-36.03196,138,21.803674
-31.209885,116,21.989018
-53.188637,12,22.019394
-213.05081,250,22.370308
-69.33168,32,22.427756
-68.47456,24,22.47276
26.366749,63,22.575982
-57.26124,7,22.600873
-324.20288,213,22.908208
-126.9055,58,22.995835
-190.96521,194,23.334979
-199.32672,162,23.579166
-127.72612,218,23.921355
-195.62283,250,24.266012
-93.6868,57,24.368824
-160.89746,154,24.596123
-50.56503,3,24.61772
-271.06702,250,25.845552
-266.07086,250,26.22151
50.0,1,26.239015
-218.37817,250,26.590945
-213.41364,250,26.972676
-99.286865,52,27.070938
-52.14784,4,27.091605
-81.36588,38,27.164992
-185.81593,250,27.508055
-54.59807,8,27.540707
40.728935,27,27.595831
-66.94324,13,27.628117
-13.304264,149,27.879459
-266.72513,250,28.234633
-74.224724,25,28.298098
-225.96025,203,28.582399
-11.2112465,104,28.752218
-155.19968,181,29.861975
-55.261272,6,29.887387
-167.7038,118,30.144684
-71.93106,45,30.235495
-149.85345,147,30.463204
-60.519173,12,30.494252
-25.545639,141,30.748446
43.448986,17,30.789737
-106.450096,72,30.909409
-270.45825,250,31.261297
-207.09006,250,31.615214
-109.22408,118,31.793067
-61.709255,12,31.825644
-57.48387,14,31.859262
43.831528,13,31.895001
-61.046535,11,31.928136
49.158577,4,31.948617
-236.72914,250,32.32834
-97.94273,52,32.42651
-143.70383,78,32.57358
-70.918,18,32.627573
-84.308945,23,32.691765
-84.18683,28,32.760468
-72.92512,37,32.84239
-52.480644,4,32.866351
-136.6688,126,33.072301
-115.50916,83,33.271712
-75.01628,37,33.361983
-62.450985,16,33.407563
-174.69452,189,34.726944
-57.84441,10,34.756651
-83.17184,29,34.82052
-110.98181,55,34.913841
-60.997124,22,34.96314
-97.40367,63,35.064354
-55.985844,7,35.087963
-154.41425,95,35.232098
-77.4534,21,35.287957
-5.693569,90,35.42946
-303.4729,221,35.777231
-118.18578,76,35.900513
-74.778305,22,35.959285
-128.48154,106,36.16187
-91.96138,61,36.28037
-62.37765,43,36.470151
-163.21136,250,37.14832
-278.97476,250,37.703492
-66.09627,42,37.846889
-92.72637,61,37.978426
-81.52754,46,38.065615
49.9,2,38.087642
-60.07203,21,38.143159
-112.46727,78,38.298491
34.65732,35,38.381263
-157.80228,185,40.115348
-237.15001,168,40.523442
-125.520645,142,41.028333
-41.66104,168,41.541176
-60.116814,17,41.611074
-195.7047,146,41.976011
-85.445175,53,42.139154
-62.716827,34,42.302729
-216.72261,204,43.186546
50.0,1,43.228502
-52.03701,4,43.285511
-105.7782,63,43.532028
-213.18005,250,44.245214
-87.66966,28,44.305757
14.759308,88,44.479823
-90.01606,44,44.574471
-61.591526,20,44.632098
-96.520805,37,44.734197
-62.50568,18,44.803006
-53.663403,6,44.838492
-126.854,127,45.100329
-65.4834,13,45.136633
-82.6578,54,45.239552
7.8504753,88,45.396734
-317.26514,239,45.750024
-57.513607,7,45.77459
1.2416115,104,47.206356
-215.71779,250,47.687148
9.868408,88,47.862252
-278.0374,230,48.36635
