#{"t_start": 1768507639.5520952, "env_id": "None"}
r,l,t
-136.34525,182,2.716515
-174.0459,165,3.087746
-59.87106,13,3.172322
-52.40711,4,3.254415
-60.125557,14,3.349697
-6.547783,127,3.615099
-112.177795,55,3.742994
-136.93765,73,3.916605
19.584743,58,4.089501
-51.265686,3,4.138848
-102.19946,207,4.569501
-84.66701,31,4.667325
-52.098984,4,4.711601
-53.960827,4,4.753115
-91.52321,63,4.893031
-61.411522,9,4.944515
49.75858,3,4.988067
-237.40482,198,5.324057
-102.14017,39,5.418862
-44.273476,195,5.799027
-65.72359,13,5.862068
-63.390663,13,5.920131
-61.499275,12,5.981742
-173.08093,102,6.170092
-153.80817,127,6.380493
-144.34332,123,6.590849
-195.4073,163,6.880955
-317.0004,250,8.230495
-64.315865,36,8.307084
-133.79657,71,8.439147
-208.79657,250,8.864052
-194.69371,222,9.205801
-120.7752,81,9.364096
-54.509468,7,9.390954
-62.148216,13,9.427967
-51.602367,6,9.454171
-207.22719,250,9.962668
-55.264458,10,9.993815
-55.540073,14,10.031158
-85.88823,47,10.116304
-56.927834,7,10.143463
-64.87418,15,10.181822
-88.07352,79,10.347806
36.998756,50,10.438231
-157.83092,215,10.829984
-291.7992,230,11.234144
-74.84915,67,11.344014
-54.4195,5,11.370847
-62.83925,15,11.411343
-81.997894,24,11.463161
-70.48279,17,11.505147
-170.72798,250,12.856618
47.034096,12,12.890857
-77.355316,50,12.99126
-83.10699,57,13.100853
-55.066067,8,13.133143
-210.49889,250,13.50164
-84.08525,36,13.569938
-109.9335,124,13.766655
-180.31459,250,13.057605
-115.05749,46,13.164051
-55.06274,8,13.196226
-72.75932,23,13.248713
-165.11264,110,13.424007
-132.50505,85,13.559756
-144.0621,148,13.808272
-121.73205,80,13.976836
-98.786446,65,14.09124
-57.676445,21,14.139995
-92.61061,48,14.222915
-60.128334,13,14.260952
-55.23284,5,14.287004
30.446241,47,14.372258
-102.29482,45,14.463897
-89.86433,90,14.622694
-33.966652,134,14.84688
-207.07722,163,16.073398
25.271116,76,16.288651
-104.58355,39,16.372747
-210.4035,250,16.893802
-52.029587,6,16.94536
-25.523514,151,17.242718
-89.35496,37,17.320812
-70.360954,18,17.374192
-59.417015,9,17.411282
29.79015,58,17.52481
-137.16476,179,17.805918
-50.92854,3,17.827878
-79.87444,33,17.894518
-344.62585,248,18.31201
-63.049473,15,18.365497
-61.27208,10,18.413557
-167.99786,100,18.68292
-55.495785,9,18.720388
-98.49347,47,18.825734
-98.434364,87,18.973454
-276.10925,213,19.320452
-109.275314,44,19.398452
-277.449,250,19.788119
-60.6715,16,19.834385
-67.194565,22,19.892115
-36.03196,138,21.418534
-31.209885,116,21.69865
-53.188637,12,21.74771
-213.05081,250,22.368739
-69.33168,32,22.459088
-68.47456,24,22.531966
26.366749,63,22.762618
-57.26124,7,22.815374
-324.20288,213,23.55451
-126.9055,58,23.766849
-190.96521,194,24.299821
-199.32672,162,24.717803
-127.72612,218,25.208815
-195.62283,250,26.09898
-93.6868,57,26.2183
-160.89746,154,26.877211
-50.56503,3,26.923857
-271.06702,250,29.98067
-266.07086,250,30.575832
50.0,1,30.604671
-218.37817,250,31.184453
-213.41364,250,31.679798
-99.286865,52,31.807539
-52.14784,4,31.83573
-81.36588,38,31.914182
-185.81593,250,32.480313
-54.59807,8,32.525769
40.728935,27,32.632638
-66.94324,13,32.699533
-13.304264,149,33.009361
-266.72513,250,33.50721
-74.224724,25,33.589514
-225.96025,203,34.124819
-11.2112465,104,34.313049
-155.19968,181,35.785544
-55.261272,6,35.815696
-167.7038,118,36.03848
-71.93106,45,36.1296
-149.85345,147,36.364292
-60.519173,12,36.398847
-25.545639,141,36.617678
43.448986,17,36.660929
-106.450096,72,36.791848
-270.45825,250,37.192829
-207.09006,250,37.592085
-109.22408,118,37.790244
-61.709255,12,37.830038
-57.48387,14,37.869332
43.831528,13,37.904579
-61.046535,11,37.935745
49.158577,4,37.963916
-236.72914,250,38.351269
-97.94273,52,38.435688
-143.70383,78,38.564147
-70.918,18,38.61202
-84.308945,23,38.657442
-84.18683,28,38.71366
-72.92512,37,38.785107
-52.480644,4,38.809263
-136.6688,126,39.014227
-115.50916,83,39.147605
-75.01628,37,39.218536
-62.450985,16,39.255654
-174.69452,189,40.525697
-57.84441,10,40.563526
-83.17184,29,40.639436
-110.98181,55,40.743281
-60.997124,22,40.791604
-97.40367,63,40.903467
-55.985844,7,40.938462
-154.41425,95,41.083863
-77.4534,21,41.127447
-5.693569,90,41.270632
-303.4729,221,41.588161
-118.18578,76,41.708675
-74.778305,22,41.757999
-128.48154,106,41.9153
-91.96138,61,42.018608
-62.37765,43,42.098864
-163.21136,250,42.504734
-278.97476,250,42.874469
-66.09627,42,42.952289
-92.72637,61,43.062815
-81.52754,46,43.142926
49.9,2,43.164458
-60.07203,21,43.211765
-112.46727,78,43.352734
34.65732,35,43.428539
-157.80228,185,44.711686
-237.15001,168,45.009488
-125.520645,142,44.051137
-41.66104,168,44.300835
-60.116814,17,44.341361
-195.7047,146,44.575536
-85.445175,53,44.66356
-62.716827,34,44.732067
-216.72261,204,45.029091
50.0,1,45.046932
-52.03701,4,45.070628
-105.7782,63,45.167899
-213.18005,250,45.535864
-87.66966,28,45.588917
14.759308,88,45.730317
-90.01606,44,45.82099
-61.591526,20,45.869705
-96.520805,37,45.950241
-62.50568,18,46.01543
-53.663403,6,46.042284
-126.854,127,46.244294
-65.4834,13,46.276828
-82.6578,54,46.368329
7.8504753,88,46.509202
-317.26514,239,46.855632
-57.513607,7,46.880793
1.2416115,104,47.977489
-215.71779,250,48.408824
9.868408,88,48.554651
-278.0374,230,48.895234
-104.27464,83,49.025309
-25.759148,111,49.201856
-65.37752,12,49.234858
-262.26535,250,49.61418
-270.93015,250,49.999294
-245.28903,250,50.410253
-113.3862,132,50.666721
-68.852936,17,50.708768
-203.37383,250,51.080343
