#{"t_start": 1768466437.6974895, "env_id": "None"}
r,l,t
-136.34525,182,3.704962
-174.0459,165,4.00299
-59.87106,13,4.065534
-52.40711,4,4.110393
-60.125557,14,4.160951
-6.547783,127,4.391157
-112.177795,55,4.717326
-136.7871,73,4.821881
19.584743,58,4.914622
-58.50346,12,4.943713
-64.47365,198,5.215279
-84.66701,31,5.268874
-52.098984,4,5.289161
-53.960827,4,5.309777
-91.52321,63,5.412225
-61.411522,9,5.439032
49.75858,3,5.462386
-403.08566,317,6.058291
-352.92596,265,6.648782
48.087757,6,6.672298
-92.48474,37,6.740311
-68.46296,18,6.780549
-64.19805,14,6.813795
-99.23556,40,6.926914
-34.111526,122,7.138691
-178.80428,198,7.468316
-194.5964,183,7.918577
-257.4793,157,8.136984
-91.76324,80,8.261496
-58.01989,7,8.287081
-238.97787,189,8.786426
-66.70178,22,8.831308
-242.1226,240,9.160725
-54.509468,7,9.18885
-62.148216,13,9.221358
-51.602367,6,9.24958
-215.64871,182,9.677616
-68.01413,32,9.730276
-63.85839,28,9.781487
-51.416553,3,9.801088
-52.259125,3,9.822943
-62.696312,12,9.852542
46.816936,12,9.881026
50.0,1,9.899424
-49.400017,175,10.147648
-245.80971,248,10.695322
50.0,1,10.716791
-76.07825,21,10.772179
-56.596474,9,10.810199
-79.635124,23,10.856597
-68.3955,16,10.895388
-111.60745,107,11.046803
44.679337,18,11.083441
-72.93912,49,11.160049
24.007406,45,11.250167
-52.701736,4,11.274718
-58.80113,15,11.313484
-408.14398,336,11.945451
-7.1930885,129,12.124422
-154.71527,102,12.300753
-64.6122,11,12.330612
-62.40341,19,12.372431
-153.07266,95,12.725649
-172.72568,135,12.930294
-74.675316,29,12.994434
25.203074,68,13.116053
-171.57341,164,13.359578
-178.20221,160,13.769924
-54.735577,13,13.801295
-51.727337,3,13.820851
-102.14528,79,13.935413
-115.93569,50,14.018658
-83.96376,87,14.155158
-58.689896,8,14.182125
41.69886,22,14.229927
-177.6846,124,14.40513
-346.56186,278,14.999062
-60.32924,18,15.03617
-65.17206,11,15.065443
-96.89386,95,15.214267
-58.98507,30,15.289526
-116.02672,143,15.683254
-126.730896,89,15.817215
-75.51586,24,15.861645
-123.879555,96,16.004591
-131.19104,146,16.215914
-111.74009,141,16.423129
-56.704666,11,16.453508
-96.157776,56,16.729653
-140.9362,85,16.875141
-72.26896,28,16.934926
-79.76513,23,16.987237
-158.08942,92,17.170376
43.25867,20,17.226948
-51.713333,3,17.251641
-66.40447,18,17.306367
-448.13837,394,18.126158
-56.092606,6,18.149743
-153.77234,92,18.286456
-57.023067,9,18.323586
-52.668743,4,18.350186
-221.62492,184,18.673998
-73.42857,26,18.933039
-28.074661,169,19.242149
-225.6507,252,19.655541
-51.635117,3,19.686216
-144.87973,142,20.263498
-19.824982,150,20.547778
-59.35395,9,20.586728
-264.79688,197,20.983079
-79.57959,23,21.05229
-134.49496,354,22.06806
-426.0904,563,23.910506
-198.51773,357,24.920349
-100.35647,103,25.126816
-89.33594,207,25.546043
43.103157,22,25.847785
50.0,1,25.869896
-320.99448,293,26.34455
-526.0377,547,27.314051
-75.50784,72,27.435432
-11.012909,162,27.877386
-377.29547,402,28.388102
-211.2603,204,28.871074
-75.0189,46,28.948442
-146.90291,94,29.092553
-89.89671,73,29.205544
-187.3623,163,29.612944
-112.217224,67,29.736551
-93.27431,30,29.795763
-76.07356,48,29.876239
-255.10338,190,30.135388
-124.908875,76,30.261133
-106.42587,88,30.560621
-129.32602,125,30.739839
-51.01231,3,30.762513
-79.10147,31,30.819048
-97.79231,43,30.888357
-57.81683,15,30.929472
-307.53952,304,31.661204
-104.56066,67,31.791439
-140.6667,79,31.959368
-53.801167,7,31.997216
-339.83176,328,32.442481
-290.02863,223,32.89111
-57.439648,7,32.91498
-132.96478,150,33.109975
-214.9408,194,33.658562
-60.36108,20,33.697285
-110.162544,97,33.837795
-58.179146,10,33.872521
50.0,1,33.892247
-153.17706,105,34.053288
-93.57994,46,34.141566
-126.54337,73,34.270372
-93.25174,39,34.355679
-87.78792,28,34.403727
-80.53283,25,34.44907
18.028328,61,34.716821
-81.28187,34,34.774967
-178.65599,219,35.078591
-358.34464,434,35.856032
-67.93747,31,35.912084
-105.81808,79,36.057494
-78.364685,208,36.505621
-201.99168,155,36.720122
-78.60362,24,36.772022
-232.71132,177,37.007804
-167.5623,129,37.197516
-57.868736,14,37.419026
-80.28321,32,37.47397
-537.7069,524,38.384606
-67.69237,14,38.4171
4.952797,90,38.544652
-149.0946,234,38.858367
-55.22366,7,38.882248
-142.10112,72,38.993154
-59.079212,17,39.034997
-63.839546,16,39.069705
-100.773346,76,39.368488
-373.91928,416,39.926858
-167.79813,110,40.308952
44.0577,20,40.355715
-62.920666,19,40.401329
-60.86591,21,40.446191
-68.319084,54,40.528666
-91.97067,86,40.650867
-79.0694,39,40.715142
-81.53102,94,40.85179
-55.80817,9,40.877846
-63.622025,18,40.913391
-207.92798,157,41.323036
-41.865074,191,41.588574
-79.58739,37,41.651543
-114.79918,74,41.760562
-181.10117,280,42.374758
47.29355,10,42.400764
-7.0862083,94,42.531125
14.631168,72,42.638986
-59.184967,12,42.674878
-159.8103,186,43.083374
-147.35924,81,43.197167
-179.62921,107,43.344112
-340.11447,398,44.074399
-54.207108,5,44.09639
-125.03744,154,44.310826
-465.55365,359,45.01499
-54.24493,8,45.041858
-87.887825,52,45.122373
-247.91565,250,45.46403
-116.95693,56,45.549325
-570.8746,622,46.833979
-58.97452,10,46.861739
-205.60817,186,47.126608
-62.56153,11,47.172105
-52.094227,4,47.198742
-174.465,139,47.426777
11.4828,86,47.552518
-187.41594,170,47.98847
-76.37859,34,48.05813
25.524466,60,48.150662
-79.12566,21,48.19411
-91.652405,56,48.285361
-59.521767,7,48.310266
-129.58992,73,48.445145
43.780785,16,48.481707
-56.82144,7,48.506874
