#{"t_start": 1768419701.2723987, "env_id": "None"}
r,l,t
-265.52582,305,0.71548
-85.87082,78,0.850602
-51.265686,3,0.874936
-75.66957,65,0.982504
-54.360752,9,1.013041
-75.35545,85,1.159576
-60.763176,17,1.20541
-150.56215,117,1.40527
-90.396866,86,1.565427
-75.639694,88,1.710871
-125.45496,140,2.029507
-63.8723,18,2.088593
-82.13753,72,2.714853
0.25977707,72,2.851163
-75.71191,48,2.935828
-52.5,3,2.960128
-66.30585,43,3.039213
-101.246414,57,3.137396
-165.28976,161,3.397386
-73.08707,98,3.562253
-54.32005,5,3.589421
-51.9,3,3.610977
-75.08274,45,3.68842
-166.01477,94,3.858299
-119.80356,88,4.007066
20.668095,58,4.108596
-103.59635,103,4.362737
-135.36691,129,5.067477
-55.940998,17,5.112049
-61.00025,10,5.145256
-111.01875,91,5.321308
-191.97615,249,5.722049
-76.5439,72,5.855317
-55.665047,9,5.885954
-87.22333,59,5.994575
48.276394,8,6.023399
16.36552,45,6.128743
-63.187035,32,6.20635
-59.960026,30,6.279373
-51.318176,3,6.300975
-31.316673,180,6.678558
-51.900654,3,6.70234
-56.67981,34,6.777418
-102.75636,123,7.006051
-76.97947,59,7.749665
-8.57222,82,8.245874
-55.17621,16,8.327863
-73.9187,24,8.439468
-55.060898,6,8.492507
-61.22824,11,8.628247
-92.82876,68,8.907684
-68.8517,34,8.994703
-93.30347,104,9.189636
44.317272,19,9.239194
-61.37676,17,9.280965
-51.42341,3,9.307586
-55.144855,9,9.34089
-117.15178,85,9.491223
-60.744747,29,9.555432
-145.23997,393,10.212526
-58.533787,7,10.242266
-57.300354,12,10.277599
-93.22897,44,10.367292
-162.53743,179,11.403217
-65.54912,23,11.477471
-194.61064,269,12.05434
-102.91499,79,12.209296
-72.091705,47,12.303095
-51.688637,6,12.330285
-318.30734,433,13.079943
-83.84979,60,13.847786
-52.43607,3,13.874021
48.752785,6,13.905601
-78.411575,25,13.963909
-80.57864,65,14.091373
-110.64688,93,14.262085
-69.54186,27,14.328145
-172.91418,215,14.695256
-57.455894,7,14.725691
-36.530243,191,15.045226
-55.97092,16,15.097458
-67.71436,38,15.186834
-54.521053,5,15.216908
-54.511765,6,15.24552
-68.25561,17,15.290683
-57.44323,25,15.350107
-59.997593,36,15.42798
-51.950752,5,15.455767
-54.43309,7,15.491246
-81.094894,32,15.613064
-51.265686,3,15.663168
-52.43607,3,15.703696
-92.10605,48,15.913255
-51.40645,4,15.947918
-89.13754,84,16.123008
-134.65059,371,17.292001
-152.52824,119,17.613316
-56.65096,6,17.645807
-83.74109,61,17.783933
-114.72909,125,18.087736
-62.468872,23,18.154848
-89.11278,60,18.271628
-52.097366,3,18.297447
-111.27867,116,18.508518
-112.607635,82,18.68674
-51.65602,3,18.709739
-57.1414,12,18.752017
-66.88827,58,19.394517
-65.62622,19,19.451072
-180.15805,175,19.778297
-61.413074,15,19.824167
-87.554016,76,19.969972
-51.727337,3,19.993175
-146.26581,193,20.457243
-97.06402,146,20.729598
-84.73311,37,20.81437
-85.26088,78,20.965038
-52.795742,16,21.012128
-61.342133,30,21.083509
-55.866222,10,21.125723
49.4,3,21.153162
-108.87404,118,21.381983
-108.49037,132,22.144813
-87.88939,46,22.364405
29.838547,75,22.554161
-78.34847,28,22.64903
-144.11351,126,22.903289
-61.667183,22,22.962998
-116.47553,127,23.195565
-112.890335,57,23.311089
-66.64077,42,23.398474
-123.28224,307,23.906145
-14.579994,83,24.071537
-57.748314,12,24.111894
