#{"t_start": 1768419420.5111425, "env_id": "None"}
r,l,t
-136.34525,182,4.338495
-174.0459,165,4.763925
-59.87106,13,4.850782
-52.40711,4,4.901463
-60.125557,14,4.971541
-6.547783,127,5.342305
-112.177795,55,5.480781
-136.93765,73,5.829853
19.584743,58,6.068602
-51.265686,3,6.130864
-102.19946,207,6.761951
-84.66701,31,6.894992
-52.098984,4,6.948151
-53.960827,4,7.004938
-91.52321,63,7.185085
-61.411522,9,7.289402
49.75858,3,7.395743
-310.63953,244,8.482213
-89.7227,35,8.647262
48.404915,11,8.717118
-78.89684,24,8.797178
-133.32645,80,8.996791
-93.42958,39,9.120768
-262.78763,170,9.595681
-134.19434,96,9.932009
-150.65009,123,10.311824
-194.58076,163,10.834514
-332.6688,266,11.965198
-58.61663,20,12.012328
-250.11473,181,12.552857
-239.03726,190,13.117899
-61.711674,16,13.212031
-1673.813,2156,20.406466
-114.25589,78,20.593157
-113.928024,88,20.77457
-62.366478,29,20.899955
-68.45153,18,20.990486
-63.171753,24,21.068599
-53.548527,6,21.116415
-67.99622,23,21.224948
-88.85535,30,21.879323
-65.45293,14,21.928382
-80.999886,66,22.094179
31.876053,50,22.186235
-85.28829,70,22.40722
-132.96245,154,22.867376
-50.44142,3,22.89638
-52.204987,3,22.921758
-71.45146,24,22.999844
-64.704254,13,23.057732
-133.32635,98,23.305158
-76.9688,57,23.440862
41.490757,30,23.521805
-75.69053,73,23.724573
-76.19235,32,23.813394
-108.14029,72,24.070971
-103.032974,69,24.244716
-86.031586,45,24.364097
-78.77108,61,24.566996
-98.02728,90,25.533942
-215.43907,113,25.760351
-103.744156,101,26.001397
-215.89435,141,26.379758
-184.07436,184,26.893945
-70.37322,20,26.999346
-108.028305,89,27.301803
-244.64441,186,27.716213
-249.96628,299,29.035164
-57.48541,20,29.1112
-58.612366,9,29.155715
-76.54255,29,29.226333
-94.2511,35,29.357952
-92.35631,107,29.602501
-53.83248,4,29.631406
-31.801826,170,30.059706
-94.39252,37,30.176551
-70.97212,27,30.250783
-69.15622,29,30.330959
-94.4525,32,30.410258
-137.27501,69,30.581052
-61.909813,18,30.638458
-126.63358,182,31.09426
-69.85277,19,31.164918
-85.130905,32,31.28948
-68.13365,14,31.364698
-145.65099,138,32.301366
-83.07565,71,32.476488
-62.14559,24,32.572006
-77.30524,30,32.657484
-309.27316,279,33.306248
-365.52963,362,34.357651
-61.961212,10,34.418524
-108.18578,73,34.661008
-55.619568,14,34.715118
-55.93529,7,34.749908
-201.03627,197,35.640861
-146.38089,92,35.904917
-57.441513,7,35.959131
-93.19818,47,36.113712
-63.10847,22,36.184785
-94.61639,56,36.344638
-113.56352,82,36.527619
-53.547115,4,36.550503
48.8,6,36.579126
-137.7005,134,36.909216
-60.71232,13,36.955497
-70.26799,30,37.042879
37.193428,41,37.168035
-53.246803,4,37.205584
-678.3281,741,39.243987
-68.36475,16,39.291302
-32.851303,161,39.650959
-133.59622,82,39.980265
-190.38548,243,40.460001
-5.854294,107,40.65579
-56.595764,178,41.714711
-45.85489,174,42.236955
50.0,1,42.283141
-256.57263,242,42.899914
-75.2526,34,43.031346
-51.082844,4,43.063241
-253.26053,279,43.72705
-20.701973,115,43.955861
-71.12188,27,44.040986
6.912693,103,44.750726
-99.87048,45,44.8538
-74.56595,39,44.938367
-83.36408,50,45.079607
-115.69938,74,45.28612
-94.60112,41,45.40399
-234.44139,185,46.002091
-186.80945,164,46.335553
-98.34319,42,46.468639
-149.33786,145,46.912838
-115.3526,211,48.006362
-59.091526,15,48.071293
-61.20957,13,48.152449
-241.98236,222,48.914688
27.06463,63,49.132455
-125.64313,108,49.358787
-117.19681,75,49.481337
-140.84644,78,49.684651
-60.289513,21,49.767091
-89.25635,44,49.913635
-95.41352,45,50.025254
-180.06322,123,50.281095
-90.970245,66,50.4351
-351.07568,339,51.695421
-150.04218,109,51.905071
-98.79536,88,52.130741
-57.287727,9,52.169576
50.0,1,52.202194
-188.28345,158,52.653024
-84.856445,38,52.80628
-83.29651,26,52.908368
-80.420715,28,52.975443
-57.181965,6,53.013179
-260.438,171,53.374773
-72.81785,53,53.529665
-106.34794,61,53.735684
-105.287125,114,54.497277
-299.61786,350,55.319907
-75.63566,34,55.421492
-265.77463,225,55.974715
-70.77325,200,56.495301
-61.471527,13,56.564037
-68.174126,18,56.645595
-196.06097,163,57.614304
-551.4177,504,58.890272
-123.0299,100,59.129239
-82.836815,40,59.24323
-208.17715,169,59.741948
-94.9312,31,59.818885
-61.55401,36,59.904822
-94.96837,61,60.073596
-61.279034,14,60.133148
-628.58374,501,61.778337
-124.65964,116,62.089147
-56.43271,8,62.128385
40.283836,25,62.197715
3.0084724,107,62.431338
-318.33932,256,63.00682
-60.57863,226,64.007543
-56.50634,10,64.044318
-63.77927,19,64.103932
49.9,2,64.126127
-64.39854,31,64.263795
-340.7031,345,64.998442
-64.64544,49,65.118986
-65.971565,21,65.212535
-331.58743,273,65.856186
-71.88704,39,65.953018
-108.2191,80,66.659241
-698.73773,615,68.112872
-553.15295,554,69.932518
-148.0145,147,70.248026
50.0,1,70.279743
-569.56067,697,72.404254
47.9,8,72.433034
-156.37419,121,72.662568
-200.88217,210,73.208532
-106.90232,46,73.306073
-175.62578,94,73.575181
34.588684,61,73.707383
-69.70923,28,73.798158
-109.70278,94,74.09644
-150.47928,122,74.467974
-54.636765,9,74.500845
-77.340744,30,74.561792
-92.72122,93,74.816323
-212.60423,203,75.764193
34.143787,39,75.957192
-271.64685,309,76.586048
-641.9951,710,79.129747
-92.21344,36,79.219132
-110.85202,136,79.539251
-76.2646,32,79.650295
-186.7975,325,80.575109
-98.76927,56,80.712015
-69.98349,28,80.79525
5.598324,91,81.003504
-73.10346,18,81.078097
-468.0484,399,82.286851
-535.182,444,83.227334
-82.93021,27,83.323214
-23.485016,117,83.66855
-257.72098,173,84.04259
-203.42143,202,85.076084
-194.61143,152,85.376879
-79.97655,271,86.029242
-54.17676,7,86.073618
48.752785,5,86.102779
-106.35279,111,86.327471
-92.54045,60,86.529802
-134.95442,314,87.808377
-229.50305,219,88.418121
-72.625565,43,88.573331
-130.85628,102,88.820422
-364.9065,551,90.051739
-29.678284,129,90.834543
-334.09225,384,91.741935
-54.013683,4,91.775878
-89.3251,278,92.433996
-217.79477,171,92.874996
-164.96811,138,93.849583
-619.46625,538,95.244254
-139.81735,86,95.455104
-119.78083,138,95.919502
-266.46118,419,97.54898
-170.33679,132,97.988967
-243.52304,189,98.574464
-127.98418,145,99.001768
-67.62115,13,99.051224
-70.82648,15,99.10986
-100.27968,66,99.256932
-143.49738,208,99.703576
-386.11624,572,101.463313
-107.55246,61,101.603321
-216.6657,215,102.008177
49.5,1,102.032075
-87.13803,33,102.137386
-148.38997,76,102.378441
36.87597,31,102.464701
-83.79923,62,102.647635
-152.25984,149,103.427598
45.91886,14,103.492853
-102.303856,84,103.710333
17.328197,77,103.860557
-55.773033,20,103.910292
-28.474533,185,104.363106
-128.9509,92,104.675255
-474.1926,427,105.625251
-4.8998146,89,106.35731
-285.5816,311,107.236755
-674.34503,760,109.760952
-228.33774,188,110.318123
-64.50674,15,110.424217
-90.591034,33,110.540463
-123.36345,75,110.695116
-31.320572,122,110.973667
-485.6065,385,111.849991
-140.17393,82,112.570898
-57.36932,22,112.632854
-57.967346,8,112.688387
-112.62044,60,112.8418
-53.077557,4,112.868633
-156.2013,177,113.293346
-70.46706,42,113.471054
44.81988,27,113.606846
-83.24547,57,113.82337
-77.655304,70,114.038855
-77.63636,37,114.158837
-190.39178,268,114.983916
-173.97404,117,115.251985
-99.56111,47,115.363733
-123.49586,70,115.577367
-762.89624,1044,118.780328
-62.949806,14,118.82579
-93.072174,85,119.028778
-55.68353,7,119.064855
-176.09879,153,119.402652
-57.4658,8,119.462027
-931.43,854,121.936342
-115.48681,147,122.348413
-480.27087,518,123.406808
-87.71728,41,123.554088
-166.7077,144,124.053491
-313.41354,319,125.31121
-164.29233,128,125.635062
40.79219,20,125.720551
-374.7222,481,126.762568
6.4336357,83,126.898639
11.015762,102,127.643297
-183.2872,164,128.045054
-117.148575,73,128.224597
28.067904,42,128.341522
49.9,2,128.379817
-148.59021,164,128.850456
-542.9038,892,131.677733
-59.979717,14,131.754987
-448.38327,683,133.950263
-15.8871,149,134.239144
-156.70157,159,134.700706
-64.050545,22,134.776732
-82.12096,29,134.85265
-67.410675,134,135.156625
-119.19006,153,135.600944
22.0779,77,135.788084
48.23497,7,135.820221
-83.82792,38,135.899281
7.5816765,80,136.061839
-85.23337,26,136.138426
-451.46536,421,137.540715
-120.41914,360,138.62765
-473.68448,496,140.27161
-72.40849,38,140.362815
-77.30356,60,140.495346
-178.51512,230,141.00212
-54.772354,18,141.04508
-57.327026,11,141.083406
-231.99852,171,141.532902
-117.41459,82,141.776412
-108.55556,121,142.125695
-516.74634,510,143.820352
-52.263836,3,143.849202
-89.34355,59,144.044921
-86.909,62,144.214802
-902.7537,973,147.056914
-24.691742,169,147.483969
-78.85381,69,147.665409
-66.538124,203,148.166879
-853.69855,901,150.760261
-58.804535,9,150.808526
12.330673,89,151.030356
-149.8049,257,152.131743
-177.63792,236,152.766948
-63.84615,22,152.891699
-114.65343,92,153.189751
-62.19345,26,153.265604
-89.81615,29,153.343524
-86.11842,152,153.695968
-262.2948,430,155.11577
-98.61554,69,155.257499
10.661667,79,155.390871
-156.96664,242,155.939384
-447.3505,543,157.373135
-637.23627,710,159.51902
-64.3105,14,159.576887
-62.83014,11,159.628998
-203.36798,196,160.057229
-226.93004,157,161.104259
-156.44316,357,161.83566
-128.85434,128,162.219402
-65.0943,22,162.277945
-873.6262,1148,165.693599
-82.52524,45,165.809133
-56.04328,6,165.847569
-129.61285,121,166.100501
38.01167,33,166.161495
-65.28869,50,166.254724
17.419048,50,166.412845
-432.61853,644,168.321703
24.178925,51,168.46601
-256.6917,398,169.712014
-90.73508,72,170.441876
-117.196976,57,170.59108
-216.0532,201,171.039945
4.2289085,113,171.341167
24.233475,72,171.545142
32.96747,50,171.670954
-51.713333,3,171.710656
-25.69088,183,172.294985
44.469944,17,172.376619
-81.25472,90,172.773934
29.586031,63,172.923239
-540.8679,482,174.755051
-74.60062,33,174.97786
-245.31671,269,175.657798
-993.25635,1547,179.238624
-177.77722,155,179.495799
-91.55697,35,179.617165
-34.72663,105,179.825565
2.0211296,123,180.053537
-114.362015,161,180.328986
-56.531918,17,180.375794
-54.949345,5,180.401579
-192.84175,120,180.606736
-18.329575,125,180.818773
-91.38024,51,181.353055
-122.65073,408,182.094996
-231.19687,346,182.63966
-58.996044,11,182.674936
-65.112495,16,182.712751
-43.129044,147,182.963306
-69.50301,24,183.016407
-548.4962,705,184.809017
-122.298645,90,184.965811
-54.5494,6,184.993872
-11.267899,134,185.217233
-67.901764,15,185.259019
-73.42695,35,185.333634
-92.30304,60,185.443282
-85.657196,53,185.944977
-875.5734,1173,188.198145
-51.914238,160,188.441248
-74.65976,36,188.514408
-79.81226,43,188.600424
-142.6508,108,188.834909
-171.59244,154,189.096969
-68.07661,19,189.144902
35.342606,32,189.22048
-17.804497,121,189.451088
-100.146484,110,189.65261
-160.4417,181,190.416469
-26.508354,104,190.600595
-263.6869,279,191.124518
-463.24963,745,192.818789
-108.19521,80,192.97234
-517.18884,488,193.778494
-226.28746,232,194.721386
-854.93463,1836,198.558321
-68.13838,16,198.646778
-97.64867,68,198.897617
-140.39429,110,199.226072
-167.35953,94,199.962521
43.011368,17,200.04212
3.5472946,88,200.23073
-51.988636,8,200.263937
48.95858,6,200.293136
-69.53617,46,200.399867
-197.9712,134,200.660834
-28.622879,143,200.940713
-100.921936,121,201.165724
-196.02922,209,201.547097
-158.86801,140,201.785149
-95.62483,59,202.347694
-28.536758,122,202.585785
-52.720108,5,202.614031
-376.29318,286,203.048913
-52.62489,5,203.075111
-84.19961,44,203.159854
45.47157,19,203.206865
12.07375,90,203.356092
-69.29686,30,203.414124
-106.79228,288,203.901356
-114.12114,82,204.083698
-52.204987,3,204.111546
-57.834305,186,205.162498
-183.71292,203,205.564833
48.32852,8,205.603932
30.976446,47,205.692677
49.9,2,205.719635
-91.10463,60,205.831394
-92.27573,143,206.088794
-143.86183,142,206.326871
-143.86035,123,206.537929
-272.34967,172,207.383363
-100.3397,78,207.517344
-152.12975,150,207.766847
-53.818573,15,207.814269
-74.36348,27,207.873345
40.231106,38,207.959735
41.510876,20,208.014603
-142.69269,197,208.328628
-121.34856,74,208.454976
-124.50986,124,208.664402
22.718746,54,208.773744
-69.88028,55,208.88443
-76.40356,36,208.957232
37.58748,28,209.02647
-92.058044,51,209.122133
-85.47418,46,209.761282
-68.81716,15,209.802535
-9.092747,79,209.979793
-144.62529,87,210.163347
-95.14395,44,210.247572
-133.26411,192,210.548736
-83.29399,86,210.69785
