#{"t_start": 1768475657.9207385, "env_id": "None"}
r,l,t
-136.34525,182,2.573829
-174.0459,165,2.91477
-59.87106,13,2.989017
-52.40711,4,3.029757
-60.125557,14,3.099383
-6.547783,127,3.439174
-112.177795,55,3.586725
-136.93765,73,3.77684
19.584743,58,3.92065
-51.265686,3,3.983101
-102.19946,207,4.435201
-84.66701,31,4.524729
-52.098984,4,4.573135
-53.960827,4,4.618881
-91.52321,63,4.768851
-61.411522,9,4.829697
49.75858,3,4.87173
-237.40482,198,5.278819
-102.14017,39,5.390111
-44.273476,195,5.830364
-65.72359,13,5.898956
-63.390663,13,5.956198
-61.499275,12,6.017281
-173.08093,102,6.219745
-153.80817,127,6.503806
-144.34332,123,6.743508
-195.4073,163,7.101238
-317.0004,250,9.192317
-64.315865,36,9.291991
-133.79657,71,9.443632
-208.79657,250,9.908093
-194.69371,222,10.304703
-120.7752,81,10.549219
-54.509468,7,10.585999
-62.148216,13,10.633978
-51.602367,6,10.66916
-207.22719,250,11.262955
-55.264458,10,11.296031
-55.540073,14,11.350078
-85.88823,47,11.454287
-56.927834,7,11.485192
-64.87418,15,11.529585
-88.07352,79,11.683621
36.998756,50,11.806156
-157.83092,215,12.239879
-291.7992,230,12.565408
-74.84915,67,12.702587
-54.4195,5,12.728519
-62.83925,15,12.771118
-81.997894,24,12.828151
-70.48279,17,12.8771
-170.72798,250,14.467897
47.034096,12,14.515491
-77.355316,50,14.638256
-83.10699,57,14.760199
-55.066067,8,14.805338
-210.49889,250,15.389726
-84.08525,36,15.462424
-109.9335,124,15.685618
-180.31459,250,16.038265
-115.05749,46,16.115175
-55.06274,8,16.145132
-72.75932,23,16.191717
-165.11264,110,16.363253
-132.50505,85,16.491007
-144.0621,148,16.760997
-121.73205,80,16.883837
-98.786446,65,16.983079
-57.676445,21,17.030767
-92.61061,48,17.108453
-60.128334,13,17.14134
-55.23284,5,17.164573
30.446241,47,17.23853
-102.29482,45,17.317742
-89.86433,90,17.449927
-33.966652,134,17.63756
-207.07722,163,18.73598
25.271116,76,18.881745
-104.58355,39,18.9951
-210.4035,250,19.444473
-52.029587,6,19.472532
-25.523514,151,19.724915
-89.35496,37,19.808814
-70.360954,18,19.856973
-59.417015,9,19.891972
29.79015,58,19.990477
-137.16476,179,20.247252
-50.92854,3,20.266919
-79.87444,33,20.326932
-344.62585,248,20.655902
-63.049473,15,20.694101
-61.27208,10,20.722814
-167.99786,100,20.866628
-55.495785,9,20.89526
-98.49347,47,20.983175
-98.434364,87,21.124578
-276.10925,213,21.615422
-109.275314,44,21.789583
-277.449,250,22.955467
-60.6715,16,23.062823
-67.194565,22,23.220016
-36.03196,138,25.039934
-31.209885,116,25.272717
-53.188637,12,25.309629
-213.05081,250,25.67252
-69.33168,32,25.734423
-68.47456,24,25.799773
26.366749,63,25.907816
-57.26124,7,25.934262
-324.20288,213,26.3007
-126.9055,58,26.417646
-190.96521,194,26.705904
-199.32672,162,26.935423
-127.72612,218,27.250314
-195.62283,250,27.630979
-93.6868,57,27.727023
-160.89746,154,27.963571
-50.56503,3,27.989465
-271.06702,250,30.268107
