#{"t_start": 1768507890.122684, "env_id": "None"}
r,l,t
-60.195274,20,0.162232
-88.23746,53,0.271159
-51.406,3,0.290012
-74.18205,26,0.345897
-77.59422,42,0.417377
-60.294933,31,0.483505
-95.79254,250,0.856259
-175.64195,98,1.024238
-77.71779,235,1.52445
-100.253845,103,1.751011
-85.50664,95,1.948168
-61.88891,11,1.990414
15.175865,67,2.125686
-70.662506,16,2.183868
-90.87529,57,2.332904
-108.94639,42,2.435731
39.89056,34,2.526997
-154.1434,68,2.646322
-293.87244,250,3.049996
-81.45632,84,3.192008
-52.110527,3,3.219648
-59.038822,10,3.253179
-54.5671,5,3.278658
-291.25107,250,3.704044
-154.97534,121,3.9364
-240.5411,250,5.304765
-217.08412,207,5.655725
-253.51343,226,6.143941
-56.85563,18,6.209867
-74.9917,19,6.27354
-253.59009,250,6.720752
-84.39155,40,6.799778
-222.9968,250,7.257532
-70.706795,23,7.336292
-73.097046,22,7.401944
-51.02268,4,7.42615
-98.86211,47,7.542286
-58.732456,13,7.587377
-118.69029,142,7.843692
-73.43428,34,7.916528
-126.34955,70,8.066895
-59.358143,9,8.110777
47.15836,11,8.151028
-116.09101,250,8.922724
-81.68645,61,9.064154
-255.38666,250,11.999743
-51.082844,4,12.045115
-64.67824,13,12.145855
-139.51234,89,12.81878
-198.50568,116,13.227158
-69.883286,19,13.354969
-191.47977,221,12.836349
18.841394,97,13.017075
-79.3107,38,13.122995
-64.34938,26,13.202497
-59.54142,11,13.237558
-67.64719,29,13.300654
-87.956726,43,13.449524
-117.75749,186,14.080837
-82.770065,33,14.233999
-96.36459,30,14.364163
-208.38359,250,15.037577
-89.92689,45,15.183209
-128.16925,100,15.407895
-92.07645,46,15.584822
-229.1736,214,16.251503
-162.80214,116,16.596199
-112.46777,250,18.605794
-101.64193,250,19.133461
-146.66916,160,19.56485
-124.37965,89,19.784448
-157.91869,83,19.945293
-107.883064,69,20.125124
-82.0379,26,20.191351
-151.4984,250,20.631135
-315.4937,250,21.079361
-90.630974,56,21.220488
-93.76247,58,21.347538
-149.98424,96,21.519546
-223.75504,199,21.932195
-78.94302,49,22.025022
-124.01686,250,22.513796
-65.0515,16,22.558504
-72.765945,22,22.615584
-96.66066,38,22.695097
-149.4451,250,24.176234
-92.783676,250,24.655039
-118.66665,250,25.177146
-105.28435,63,25.314395
-170.60062,122,25.594629
-66.7876,21,25.66321
-114.90856,53,25.777501
-167.79169,116,26.004086
-75.53306,62,26.141758
-57.244797,9,26.181605
-201.893,219,26.827731
-204.33633,144,27.123107
-84.76905,25,27.187709
-271.39633,250,27.625831
-95.31955,54,27.721274
-54.709316,7,27.752973
-190.35559,250,29.566893
-159.06543,95,29.73923
49.658577,4,29.763347
-198.80927,250,30.247318
-62.456375,15,30.297012
-71.22685,34,30.376315
17.914288,100,30.572428
-249.37773,250,30.973195
-92.278046,37,31.069438
-111.0417,50,31.185356
-140.84773,250,31.622304
-145.31934,196,31.946068
-147.4482,250,32.425257
-173.90486,250,32.860539
-111.33036,105,33.044119
-172.03415,183,34.472646
49.5,3,34.499609
-182.3012,220,34.993325
-70.733,33,35.075779
-60.811813,29,35.153631
-151.99706,205,35.556533
