#{"t_start": 1768507123.2673852, "env_id": "None"}
r,l,t
-136.34525,182,3.422205
-174.0459,165,3.710458
-59.87106,13,3.775463
-52.40711,4,3.821512
-60.125557,14,3.876976
-6.547783,127,4.130201
-112.177795,55,4.247593
-136.93765,73,4.391462
19.584743,58,4.510474
-51.265686,3,4.554699
-102.19946,207,4.901444
-84.66701,31,4.985433
-52.098984,4,5.025339
-53.960827,4,5.090981
-91.52321,63,5.225268
-61.411522,9,5.278924
49.75858,3,5.320561
-237.40482,198,5.629894
-102.14017,39,5.721726
-44.273476,195,6.062344
-65.72359,13,6.12191
-63.390663,13,6.183203
-61.499275,12,6.250844
-173.08093,102,6.470458
-153.80817,127,6.707512
-144.34332,123,6.915819
-195.4073,163,7.19044
-317.0004,250,8.364373
-64.315865,36,8.432526
-133.79657,71,8.55038
-208.79657,250,9.007829
-194.69371,222,9.334545
-120.7752,81,9.461198
-54.509468,7,9.492397
-62.148216,13,9.528769
-51.602367,6,9.552068
-207.22719,250,9.91599
-55.264458,10,9.946211
-55.540073,14,9.985847
-85.88823,47,10.065608
-56.927834,7,10.090942
-64.87418,15,10.127045
-88.07352,79,10.252131
36.998756,50,10.363798
-157.83092,215,10.687402
-291.7992,230,11.066499
-74.84915,67,11.195626
-54.4195,5,11.224385
-62.83925,15,11.274735
-81.997894,24,11.341729
-70.48279,17,11.392229
-170.72798,250,12.519668
47.034096,12,12.553021
-77.355316,50,12.643795
-83.10699,57,12.745687
-55.066067,8,12.783468
-210.49889,250,13.244898
-84.08525,36,13.312021
-109.9335,124,13.535017
-180.31459,250,14.122322
-115.05749,46,14.230873
-55.06274,8,14.261296
-72.75932,23,14.333821
-165.11264,110,14.623372
-132.50505,85,14.770229
-144.0621,148,15.004804
-121.73205,80,15.127663
-98.786446,65,15.237198
-57.676445,21,15.286285
-92.61061,48,15.371966
-60.128334,13,15.404417
-55.23284,5,15.427668
30.446241,47,15.504875
-102.29482,45,15.584049
-89.86433,90,15.761234
-33.966652,134,16.023399
-207.07722,163,17.15121
25.271116,76,17.26967
-104.58355,39,17.342297
-210.4035,250,17.719259
-52.029587,6,17.746144
-25.523514,151,17.984041
-89.35496,37,18.067935
-70.360954,18,18.116859
-59.417015,9,18.150856
29.79015,58,18.254249
-137.16476,179,18.517881
-50.92854,3,18.543309
-79.87444,33,18.612404
-344.62585,248,19.021602
-63.049473,15,19.064481
-61.27208,10,19.093342
-167.99786,100,19.250979
-55.495785,9,19.27989
-98.49347,47,19.368234
-98.434364,87,19.505173
-276.10925,213,19.828742
-109.275314,44,19.903742
-277.449,250,20.288347
-60.6715,16,20.327374
-67.194565,22,20.391801
-36.03196,138,21.389948
-31.209885,116,21.576438
-53.188637,12,21.607971
-213.05081,250,21.988779
-69.33168,32,22.053555
-68.47456,24,22.10097
26.366749,63,22.20422
-57.26124,7,22.230338
-324.20288,213,22.548208
-126.9055,58,22.646408
-190.96521,194,22.97945
-199.32672,162,23.219061
-127.72612,218,23.546921
-195.62283,250,23.929058
-93.6868,57,24.021051
-160.89746,154,24.247238
-50.56503,3,24.267606
-271.06702,250,25.37079
-266.07086,250,25.739659
50.0,1,25.757565
-218.37817,250,26.137552
-213.41364,250,26.517349
-99.286865,52,26.601906
-52.14784,4,26.62535
-81.36588,38,26.693941
-185.81593,250,27.096817
-54.59807,8,27.123384
