#{"t_start": 1768421837.7172778, "env_id": "None"}
r,l,t
-136.34525,182,2.902426
-174.0459,165,3.278375
-59.87106,13,3.355726
-52.40711,4,3.418412
-60.125557,14,3.523514
-6.547783,127,3.836788
-112.177795,55,3.98408
-136.93765,73,4.154711
19.584743,58,4.304878
-51.265686,3,4.347241
-102.19946,207,4.711023
-84.66701,31,4.793468
-52.098984,4,4.837383
-53.960827,4,4.883942
-91.52321,63,5.040418
-61.411522,9,5.107958
49.75858,3,5.160698
-810.0845,697,6.68147
-334.40964,295,7.132123
48.753716,8,7.160011
-60.31406,9,7.191855
-55.00554,5,7.215836
-51.946575,3,7.237188
-486.19583,340,8.310227
-86.715706,41,8.401302
-443.01358,665,9.931391
-593.0492,775,11.283052
-135.62975,67,11.411508
-51.253662,5,11.442608
-68.27871,15,11.508532
-281.9895,515,13.725514
-44.779366,134,14.060511
-122.13501,311,15.030553
-103.19162,68,15.208194
-67.123024,19,15.267587
-64.63923,49,15.41398
-174.64967,146,16.742081
-60.71455,25,16.851912
4.877846,91,17.632921
-126.18548,90,18.01564
-105.68144,50,18.184026
-124.30889,75,18.411186
49.658577,4,18.453319
44.661304,32,18.580966
-273.3797,357,19.87683
-107.15056,92,20.117138
50.0,1,20.156865
-73.09882,19,20.229448
-100.950676,51,20.349046
-60.249084,8,20.396464
-12.589409,81,21.344432
-74.31896,52,21.567063
-71.402374,67,21.757685
14.969936,96,22.068005
-75.036156,53,22.180758
-75.2037,32,22.257283
-102.888916,64,22.427376
-84.61867,181,22.823334
10.930416,96,23.001886
20.66686,65,23.130971
-127.038315,165,23.40841
-89.299484,58,23.516649
-161.56628,125,24.264176
-130.6052,160,24.566771
-59.5207,10,24.597748
-119.335266,91,24.788092
-158.44821,185,25.090872
18.615704,73,25.246292
-109.19139,137,25.487672
-76.0166,46,25.575695
-210.16045,289,26.568161
-102.31363,41,26.687493
-387.20767,478,27.433306
-59.710854,10,27.468582
40.092598,33,27.542076
-91.92322,45,27.625654
-81.2479,42,27.698839
34.514694,47,27.787963
-226.20508,133,27.985388
9.493992,86,28.156946
-93.38525,79,28.289807
-1372.2349,1573,31.89174
-69.348335,22,31.938615
-296.51947,221,32.267606
-146.64178,74,32.389668
45.172005,24,32.440568
13.713482,96,32.590248
-103.90509,80,33.121603
-65.47335,19,33.166739
-82.019196,33,33.230782
-90.79912,52,33.335327
-89.44613,31,33.444287
-358.50336,280,34.080905
44.593292,14,34.137044
-157.17868,111,34.412628
-93.83786,187,34.740026
-15.786568,106,34.91035
-94.35054,37,34.977887
-127.445244,122,35.170474
-211.73837,215,36.305664
-51.37097,3,36.336244
-317.6747,501,37.900482
-220.914,175,38.705503
50.0,1,38.734086
-122.37365,130,39.105926
-57.969208,11,40.082011
-400.65735,474,41.328392
49.6,4,41.362933
-31.091316,152,41.675589
-293.1072,317,42.483117
-107.15187,308,43.659149
37.711246,35,43.730558
-51.727337,3,43.753758
-79.12021,272,44.3321
-55.813797,17,44.433347
-286.0831,339,45.039501
-140.94958,141,46.828382
50.0,1,46.951505
-8.35606,118,47.499044
-191.72536,374,48.149424
-53.465027,9,48.20141
39.736633,23,48.303416
-70.96542,50,48.505629
-106.67883,67,48.639097
-51.209904,3,48.662075
-187.15997,150,49.021016
-359.0311,503,50.51152
3.4613037,102,50.936522
21.711304,68,51.084319
-496.5424,333,51.728533
19.027485,71,51.843593
-427.84726,348,53.200342
-307.14313,245,53.759589
-326.2103,351,54.925099
-667.9936,713,57.2509
-50.9,3,57.292444
-86.258484,36,57.409126
-245.7226,257,57.958527
44.05191,21,58.022273
-99.310776,94,58.211134
-66.8913,22,58.272675
-104.94498,81,58.508521
25.20593,56,59.7497
-553.6365,699,63.048368
-144.18443,101,63.870931
-75.448715,26,64.023992
47.129044,10,64.115092
-56.65498,7,64.185379
-69.04522,23,64.298909
31.331133,37,64.577543
-151.98856,166,66.464616
48.8,3,66.512698
-273.6012,327,67.690694
-51.64222,3,67.718809
-59.336914,9,67.760432
-60.714344,11,67.816833
-62.57405,11,67.864905
-223.97078,158,68.239047
44.480495,17,68.298882
-61.00334,14,68.347225
-51.12221,3,68.372804
-86.46486,49,68.526201
-59.14015,17,68.585117
-54.72808,9,68.625017
-93.19264,218,69.250963
-55.22612,7,69.321285
-67.769295,13,69.380629
-58.013527,131,73.173181
47.431503,9,73.382449
-153.09567,138,74.306184
-52.037827,3,74.436463
-104.339485,71,75.062905
-64.09085,11,75.229022
-339.9998,409,76.756742
-63.24302,27,76.873609
-54.13356,7,76.931042
-86.99301,32,77.057166
-217.54001,217,77.513473
-51.713333,3,77.543327
44.9358,18,77.592615
18.824535,46,78.27076
-106.75894,49,78.407128
45.676445,17,78.46114
-52.05498,5,78.493665
-51.00777,3,78.524921
46.0,11,78.58393
-55.694916,18,78.649684
39.60919,22,78.724678
46.246452,12,78.785674
-51.283096,3,78.815845
-60.15828,15,78.865439
5.900814,74,79.027429
-58.935844,14,79.080465
-51.321613,3,79.107678
-55.299294,8,79.172483
27.603508,57,79.428702
-99.71681,92,79.687355
-528.347,718,83.152674
47.1,7,83.209854
-54.34155,7,83.281815
-83.63045,71,83.539671
-99.809586,48,83.719517
-54.861313,5,83.766063
43.098564,21,83.909719
-51.5,3,83.969935
-50.9,3,84.034276
-71.880585,21,84.17576
-51.124264,3,84.215676
-54.804703,8,84.275482
-75.578094,40,84.411681
-246.2771,318,85.449829
-94.61232,64,85.627362
-36.775375,164,86.056512
-850.217,1524,92.321591
-54.304535,5,92.359072
-58.37148,12,92.405959
-388.4165,882,95.032739
-62.53161,33,95.125628
-84.05659,34,95.214185
43.58182,13,95.260419
