#{"t_start": 1768413386.3891308, "env_id": "None"}
r,l,t
-147.51115,166,0.362732
-514.23096,841,1.591472
-60.014698,14,1.633214
9.201046,62,2.217774
-147.6174,124,2.403953
-182.38547,401,2.982055
-170.14908,244,3.356922
-814.5194,1577,6.364714
-269.3988,563,7.179609
-104.10692,397,8.171922
-228.86389,302,8.627962
-1136.434,2899,15.663306
-252.718,456,16.40379
-90.40496,31,16.471802
-453.96887,1202,20.11085
-602.5154,455,20.938607
-318.83243,868,22.791375
-348.71054,457,23.55918
-289.14026,400,24.650113
-517.85455,1918,28.683131
-1771.8708,6546,41.755026
-997.121,4235,50.247629
-886.4119,1254,52.741012
