#{"t_start": 1768425178.210852, "env_id": "None"}
r,l,t
-136.34525,182,3.060346
-174.0459,165,3.399822
-59.87106,13,3.463063
-52.40711,4,3.517596
-60.125557,14,3.599288
-6.547783,127,3.864099
-112.177795,55,4.233135
-136.7871,73,4.356051
19.584743,58,4.479313
-58.50346,12,4.521969
-64.47365,198,4.906338
-84.66701,31,4.982654
-52.098984,4,5.010038
-53.960827,4,5.043009
-91.52321,63,5.269602
-61.411522,9,5.312247
49.75858,3,5.336033
-403.08566,317,6.064177
-352.92596,265,6.646833
48.087757,6,6.67049
-92.48474,37,6.742806
-68.46296,18,6.781091
-64.19805,14,6.819278
-99.23556,40,6.886024
-34.111526,122,7.071686
-178.80428,198,7.372241
-194.5964,183,7.895015
-257.4793,157,8.194854
-91.76324,80,8.338552
-58.01989,7,8.369616
-238.97787,189,8.988426
-66.70178,22,9.036774
-242.1226,240,9.478998
-54.509468,7,9.504954
-62.148216,13,9.538639
-51.602367,6,9.578705
-215.64871,182,10.125273
-68.01413,32,10.181807
-63.85839,28,10.239286
-51.416553,3,10.261412
-52.259125,3,10.280906
-62.696312,12,10.309446
46.816936,12,10.344086
50.0,1,10.362508
-49.400017,175,10.613198
-245.80971,248,11.201461
50.0,1,11.221993
-76.07825,21,11.28308
-56.596474,9,11.316395
-79.635124,23,11.380949
-68.3955,16,11.425256
-111.60745,107,11.60704
44.679337,18,11.655655
-72.93912,49,11.741547
24.007406,45,11.842566
-52.701736,4,11.883648
-58.80113,15,11.942279
-408.14398,336,12.644679
-7.1930885,129,12.845891
-154.71527,102,13.002136
-64.6122,11,13.033408
-62.40341,19,13.071412
-153.07266,95,13.464358
-172.72568,135,13.684011
-74.675316,29,13.742002
25.203074,68,13.869097
-171.57341,164,14.208279
-178.20221,160,14.837593
-54.735577,13,14.871527
-51.727337,3,14.890789
-102.14528,79,15.013895
-115.93569,50,15.100436
-83.96376,87,15.238435
-58.689896,8,15.27303
41.69886,22,15.318802
-177.6846,124,15.52088
-346.56186,278,16.241187
-60.32924,18,16.287871
-65.17206,11,16.325939
-96.89386,95,16.545915
-58.98507,30,16.623497
-116.02672,143,17.104409
-126.730896,89,17.24519
-75.51586,24,17.300028
-123.879555,96,17.474273
-131.19104,146,17.696721
-111.74009,141,17.898049
-56.704666,11,17.933549
-96.157776,56,18.37836
-140.9362,85,18.519653
-72.26896,28,18.582839
-79.76513,23,18.652528
-158.08942,92,18.863441
43.25867,20,18.911379
-51.713333,3,18.935406
-66.40447,18,18.979166
-448.13837,394,19.758189
-56.092606,6,19.782649
-153.77234,92,19.922172
-57.023067,9,19.95064
-52.668743,4,19.970541
-221.62492,184,20.263688
-73.42857,26,20.552175
-28.074661,169,20.846601
-225.6507,252,21.377489
-51.635117,3,21.399508
-144.87973,142,21.83801
-19.824982,150,22.101399
-59.35395,9,22.142793
-264.79688,197,22.463312
-79.57959,23,22.515388
-134.49496,354,23.302476
-426.0904,563,24.32445
-198.51773,357,25.045949
-100.35647,103,25.203281
-89.33594,207,25.52794
43.103157,22,25.859504
50.0,1,25.885141
-320.99448,293,26.319223
-526.0377,547,27.35947
-75.50784,72,27.489925
-11.012909,162,28.009945
-377.29547,402,28.621023
-211.2603,204,29.178693
-75.0189,46,29.269991
-146.90291,94,29.427642
-89.89671,73,29.548751
-187.3623,163,30.01134
-112.217224,67,30.129609
-93.27431,30,30.208138
-76.07356,48,30.33929
-255.10338,190,30.648218
-124.908875,76,30.780492
-106.42587,88,31.146138
-129.32602,125,31.346814
-51.01231,3,31.368016
-79.10147,31,31.466729
-97.79231,43,31.556941
-57.81683,15,31.602085
-307.53952,304,32.263159
-104.56066,67,32.380725
-140.6667,79,32.558078
-53.801167,7,32.592897
-339.83176,328,33.08899
-290.02863,223,33.607352
-57.439648,7,33.63186
-132.96478,150,33.855216
-214.9408,194,34.375281
-60.36108,20,34.426885
-110.162544,97,34.592714
-58.179146,10,34.624274
50.0,1,34.643406
-153.17706,105,34.879975
-93.57994,46,34.988052
-126.54337,73,35.122569
-93.25174,39,35.192193
-87.78792,28,35.256889
-80.53283,25,35.306334
18.028328,61,35.654094
-81.28187,34,35.721785
-178.65599,219,36.082556
-358.34464,434,36.974134
-67.93747,31,37.046271
-105.81808,79,37.272931
-78.364685,208,37.796775
-201.99168,155,38.027745
-78.60362,24,38.078224
-232.71132,177,38.332629
-167.5623,129,38.523019
-57.868736,14,38.763545
-80.28321,32,38.823466
-537.7069,524,39.826589
-67.69237,14,39.866596
4.952797,90,40.035404
-149.0946,234,40.377522
-55.22366,7,40.404027
-142.10112,72,40.513907
-59.079212,17,40.553703
-63.839546,16,40.596209
-100.773346,76,40.943578
-373.91928,416,41.531058
-167.79813,110,42.000674
44.0577,20,42.049776
-62.920666,19,42.096182
-60.86591,21,42.147987
-68.319084,54,42.244762
-91.97067,86,42.383114
-79.0694,39,42.449978
-81.53102,94,42.595815
-55.80817,9,42.626755
-63.622025,18,42.668378
-207.92798,157,43.126167
-41.865074,191,43.398616
-79.58739,37,43.460565
-114.79918,74,43.603967
-181.10117,280,44.282125
47.29355,10,44.308139
-7.0862083,94,44.462688
14.631168,72,44.591196
-59.184967,12,44.639056
-159.8103,186,45.218149
-147.35924,81,45.344556
-179.62921,107,45.51447
